RELEVE NUMBER,FIELD RELEVE NUMBER,DATE (YEARMONTHDAY),RELEVE AREA (M2),RELEVE SHAPE,COVERSCALE,REPEAT SAMPLED (Y/N),COLLECTION,COLLECTION METHOD,SYNTAXON CODE,SYSTEM FOR PLANT COMMUNITY NAME,PLANT COMMUNITY NAME,AUTHOR CODE,REFERENCE FOR SPECIES DATA,TABLE NUMBER FOR SPECIES DATA,NUMBER OF RELEVE IN TABLE,REFERENCE FOR ENVIRONMENTAL DATA,TABLE NUMBER FOR ENVIRONMENTAL DATA,SUBZONE,COUNTRY CODE,DATASET,REGION,LOCATION,PHYSIOGRAPHIC DIVISION,PHYSIOGRAPHIC REGION SOURCE,GEOREFERENCE (Y/N),GEOREFERENCE SOURCE,GEOREFERENCE ACCURACY (M),LATITUDE WGS 84 (DD),LONGITUDE WGS 84 (DD),ALTITUDE (M),SLOPE (DEGREES),ASPECT (DEGREES),TOPOGRAPHIC POSITION,SURFICIAL GEOLOGY,HABITAT TYPE ,SITE MOISTURE,DISTURBANCE,ORGANIC LAYER DEPTH (CM),SOIL TEXTURE  TOP MINERAL HORIZON,SOIL PH (at 10 cm),MOSSES IDENTIFIED (Y/N),LIVERWORTS IDENTIFIED (Y/N),LICHENS IDENTIFIED (Y/N),VASCULAR PLANT TAXONOMIC QUALITY ,CRYPTOGAM TAXONOMIC QUALITY,COVER TREE LAYER (%),COVER SHRUB LAYER (%),COVER TALL SHRUBS (%),COVER LOW SHRUBS (%),COVER ERECT DWARF-SHRUBS (%),COVER PROSTRATE DWARF-SHRUBS (%),COVER GRAMINOIDS (%),COVER TUSSOCK GRAMINOIDS (%),COVER FORBS (%),COVER SEEDLESS VASCULAR PLANTS (%),COVER MOSSES & LIVERWORTS (%),COVER LICHEN LAYER (%),COVER CRUST(%),COVER ALGAE LAYER (%),COVER BARE SOIL (%),COVER BARE ROCK (%),COVER OPEN WATER (%),COVER LITTER LAYER (%),COVER TOTAL (%),MEAN CANOPY HEIGHT (CM),MEAN TREE LAYER HEIGHT (CM),MEAN SHRUB LAYER HEIGHT (CM),MEAN HERB LAYER HEIGHT (CM),MEAN MOSS LAYER HEIGHT (CM),REMARKS
,380,30.08. 1931,200,N,Drude,N,,O,,,Cladonia silvatica – Polytrichum hyperboreum,A. Dedov,,,,,,,RU,Dedov's_historical_data,Kanin-Pechora,Khvostovaia river,,,,,,,,,,,EL_PLN,,,DRY,NAT,,SND,,,,,5,5,0,0,0,0,0,0.5,6,N,2,2,25,65,N,N,0,0,N,0,100,,,,,,
,388,31.08. 1931,,N,Drude,N,,O,,,Cladonia silvatica – Disranum elongatum,A. Dedov,,,,,,,RU,Dedov's_historical_data,Kanin-Pechora,Khvostovaia river,,,,,,,,,,,BACK,,,MST,NAT,,LOM,,,,,5,5,0,0,0,0,0,20,0.1,N,0.1,0,35,45 (50),N,N,0,0,N,0,100,,,,,,
,220,26.08. 1930,400,N,Drude,N,,O,,,Polytrichum piliferum – Sphaerophorus globosus,A. Dedov,,,,,,,RU,Dedov's_historical_data,Kanin-Pechora,Sredniaia river,,,,,,,,,,,CRST,,,DRY,NAT,,SND,,,,,5,5,0,0,0,0,0,15,0.2,N,0,0,70,15 (20),N,N,0,0,N,0,100,,,,,,
,6,20.07.1928,,N,Drude,N,,O,,,Empetrum – Cladonia rangiferina,A. Dedov,,,,,,,RU,Dedov's_historical_data,Kanin-Pechora,Headwaters of Gol`tcovki river ,,,,,,,,,,,BACK,,,MST,NAT,,LOM/GRV,,,,,5,5,0,0,0,0,0,53,8,N,3,0.5,9,20,N,N,1,0,N,25,74,,,,,,
,306,18.08.1931,150,N,Drude,N,,O,,,Empetrum – Equisetum arvense ,A. Dedov,,,,,,,RU,Dedov's_historical_data,Kanin-Pechora,"Soi`ma river, near ""Tri Sopki""",,,,,,,,,,,SHLD,,,DRY,DIS,,SND/LOM,,,,,5,5,0,0,0,0,0,70,1,N,0.5,30.5,1,1,N,N,0,0,N,0,100,,,,,,
,249,20.07.1931,7000,N,Drude,N,,O,,,Empetrum– Festuca supin?,A. Dedov,,,,,,,RU,Dedov's_historical_data,Kanin-Pechora,Orlovaia hill,,,,,,,,,,,CRST,,,DRY,DIS,,LOM,,,,,5,5,0,0,0,0,0,50,15,N,0.1,0.1,2.5,2.5,N,N,0,0,N,40,60,,,,,,
,48,1.08.1928,,N,Drude,N,,O,,,Empetrum– Festuca supin?,A. Dedov,,,,,,,RU,Dedov's_historical_data,Kanin-Pechora,"Velikaia river, plane plato",,,,,,,,,,,EL_PLN,,,DRY,DIS,,LOM/GRV,,,,,5,5,0,0,0,0,0,45,10,N,6,0.1,1 (2),10,N,N,0,0,N,40,60,,,,,,
,430,28.08.1932,1000,N,Drude,N,,O,,,Dryas octopetala – Hylocomium proliferum ,A. Dedov,,,,,,,RU,Dedov's_historical_data,Kanin-Pechora,SE of Navolskiy ridge,,,,,,,,,,,EL_PLN,,,WET,NAT,,LOM,,,,,5,5,0,0,0,1,1,10 (30),1,N,10 (20),1 (10),45,5,N,N,1,0,N,,99,10 (15),,,,,
,307,18.08.1931,700,N,Drude,N,,O,,,Betula nana – Vaccinium myrtillus,A. Dedov,,,,,,,RU,Dedov's_historical_data,Kanin-Pechora,Soi`ma river,,,,,,,,,,,BACK,,,MST,NAT,,LOM,,,,,5,5, ,60 (70),0,60 (70),65,0,6,N,2,1,40,0.1,N,N,0,0,N,0,100,,,60,,,
,315,19.08.1931,400,N,Drude,N,,O,,,Betula nana – Equisetum arvense.,A. Dedov,,,,,,,RU,Dedov's_historical_data,Kanin-Pechora,Soi`ma river,,,,,,,,,,,SHLD,,,DRY,NAT,,SND/LOM,,,,,5,5,0,15,0,15,2,0,5,N,5,50,35,0.5,N,N,0,0,N,0,100,,,60,,,
,173,15.08.1930,300,N,Drude,N,,O,,,Betula nana – Calamagrostis neglecta ,A. Dedov,,,,,,,RU,Dedov's_historical_data,Kanin-Pechora,Py`tet hill ,,,,,,,,,,,BACK,,,MST,NAT,,LOM,,,,,5,5,0,80,0,80,0,1,50,N,1,0.5,25 (30),0,N,N,0,0,N,0,100,,,40,50 (60),,
,355,26.08.1931,,N,Drude,N,,O,,,Ledum palustre – Polytrichum strictum ,A. Dedov,,,,,,,RU,Dedov's_historical_data,Kanin-Pechora,Khvostovaia river,,,,,,,,,,,BACK,,,WET,NAT,,ORG,,,,,5,5,0,70,0,70,1,0,2,1,0,0,100,0.1,N,N,0,0,N,0,100,,,,,,
,270,5.08.1931,,N,Drude,N,,O,,,Ledum palustre – Eriophorum vaginatum – Dicranum elongatum,A. Dedov,,,,,,,RU,Dedov's_historical_data,Kanin-Pechora,Ikcha river ,,,,,,,,,,,BACK,,,WET,NAT,,ORG,,,,,5,5,0,50,0,50,2,0,35,35,0.5,0,80,5 (7),N,N,0,0,N,0,100,,,,,,
,297,16.08.1931,5000,N,Drude,N,,O,,,Tussock meadows,A. Dedov,,,,,,,RU,Dedov's_historical_data,Kanin-Pechora,Ikcha lake ,,,,,,,,,,,FOOT,,,WET,NAT,,ORG,,,,,5,5,0,0,0,0,0,0,80,40,10,0,10,0,N,N,0,0,N,0,100,,,40,,,
,267,,,N,Drude,N,,O,,,Dunes,A. Dedov,,,,,,,RU,Dedov's_historical_data,Kanin-Pechora,Peschanka river dunes,,,,,,,,,,,LW_PLN,,,DRY,NAT,,SND,,,,,5,5,1,1,0,1,0,0,40 (45),N,15,0,0,0,N,N,0,0,N,40,60,,,,,,
,248,19.07.1931,800,N,Drude,N,,O,,,Tandyr,A. Dedov,,,,,,,RU,Dedov's_historical_data,Kanin-Pechora,Top part of  Orlovaia hill,,,,,,,,,,,CRST,,,MST,DIS,,LOM,,,,,5,5,0,0,0,0,1,0,50 (65),N,2,0.5,1,0,N,N,0,0,N,20 (30),70 (80),,,,,,
,126,1.08.1930,10000,N,Drude,N,,O,,,Hylocomium proliferum – Carex hyperborea,A. Dedov,,,,,,,RU,Dedov's_historical_data,Kanin-Pechora,Saundei` hill (Sengiagi river basin).,,,,,,,,,,,BACK,,,MST,NAT,,LOM,,,,,5,5,0,0,0,0,0,1,,,,,,,N,N,,,,,,,,,,,
,415,24.08.1932,,N,Drude,N,,O,,,Hylocomium proliferum – Carex hyperborea,A. Dedov,,,,,,,RU,Dedov's_historical_data,Kanin-Pechora,Vy`tarmei` ridge,,,,,,,,,,,BACK,,,-,NAT,,LOM,,,,,5,5,0,,,,,,,,,,,,N,N,,,,,,,,,,,
,438,30.08.1932,,N,Drude,N,,O,,,Hylocomium proliferum – Carex hyperborea,A. Dedov,,,,,,,RU,Dedov's_historical_data,Kanin-Pechora,Severny`i`ridge (Chernaia river basin),,,,,,,,,,,BACK,,,-,NAT,,LOM,,,,,5,5,0,,,,,,,,,,,,N,N,,,,,,,,,,,
,441,31.08.1932,,N,Drude,N,,O,,,Hylocomium proliferum – Carex hyperborea,A. Dedov,,,,,,,RU,Dedov's_historical_data,Kanin-Pechora,Piatneyk hill ,,,,,,,,,,,BACK,,,-,NAT,,LOM,,,,,5,5,0,,,,,,,,,,,,N,N,,,,,,,,,,,
,129,4.08.1930,,N,Drude,N,,O,,,Empetrum nigrum – Sphaerophorus globosus,A. Dedov,,,,,,,RU,Dedov's_historical_data,Kanin-Pechora,Obseda hill ,,,,,,,,,,,BACK,,,DRY,NAT,,LOM,,,,,5,5,0,,,,70,,,,,,20,20,N,N,,,,,95,,,,,,
,176,15.08.1930,800,N,Drude,N,,O,,,Empetrum nigrum – Sphaerophorus globosus,A. Dedov,,,,,,,RU,Dedov's_historical_data,Kanin-Pechora,Py`tet hill ,,,,,,,,,,,BACK,,,DRY,NAT,,LOM,,,,,5,5,0,,,,75,,,,,,15,20,N,N,,,,,95,,,,,,
,213,25.08.1930,1000,N,Drude,N,,O,,,Empetrum nigrum – Sphaerophorus globosus,A. Dedov,,,,,,,RU,Dedov's_historical_data,Kanin-Pechora,Sredniaia river,,,,,,,,,,,CRST,,,-,NAT,,CLY,,,,,5,5,0,,,,70,,,,,,15,25,N,N,,,,,100,,,,,,
,216,25.08.1930,,N,Drude,N,,O,,,Empetrum nigrum – Sphaerophorus globosus,A. Dedov,,,,,,,RU,Dedov's_historical_data,Kanin-Pechora,Sredniaia river,,,,,,,,,,,BACK,,,-,NAT,,CLY,,,,,5,5,0,,,,65,,,,,,20,25,N,N,,,,,100,,,,,,
,223,26.08.1930,700,N,Drude,N,,O,,,Empetrum nigrum – Sphaerophorus globosus,A. Dedov,,,,,,,RU,Dedov's_historical_data,Kanin-Pechora,Sredniaia river,,,,,,,,,,,BACK,,,DRY,NAT,,LOM,,,,,5,5,0,,,,80,,,,,,10,25,N,N,,,,,95,,,,,,
,356,26.08.1931,1200,N,Drude,N,,O,,,Empetrum nigrum – Sphaerophorus globosus,A. Dedov,,,,,,,RU,Dedov's_historical_data,Kanin-Pechora,Khvostovaia river ,,,,,,,,,,,BACK,,,DRY,NAT,,LOM,,,,,5,5,0,,,,70,,,,,,5,35,N,N,,,,,100,,,,,,
,38,30.07.1928,,N,Drude,N,,O,,,Empetrum nigrum – Cetraria nivalis,A. Dedov,,,,,,,RU,Dedov's_historical_data,Kanin-Pechora,Belaia river headwaters ,,,,,,,,,,,BACK,,,-,NAT,,GRV,,,,,5,5,0,,,,55,,,,,,0.5,25,N,N,,,,,75,,,,,,
,80,17.08.1928,,N,Drude,N,,O,,,Empetrum nigrum – Cetraria nivalis,A. Dedov,,,,,,,RU,Dedov's_historical_data,Kanin-Pechora,environs of pos. Popovy`kh,,,,,,,,,,,BACK,,,DRY,NAT,,GRV,,,,,5,5,0,,,,65,,,,,,15,25,N,N,,,,,100,,,,,,
,240,16.07.1931,450,N,Drude,N,,O,,,Empetrum nigrum – Cetraria nivalis,A. Dedov,,,,,,,RU,Dedov's_historical_data,Kanin-Pechora,Uiar hill (Malaia Zemlia),,,,,,,,,,,EL_PLN,,,DRY,NAT,,LOM,,,,,5,5,0,,,,70,,,,,,5,20,N,N,,,,,92,,,,,,
,33,28.08.1928,15000,N,Drude,N,,O,,,Empetrum nigrum – Cladonia alpestris,A. Dedov,,,,,,,RU,Dedov's_historical_data,Kanin-Pechora,Chernaia river,,,,,,,,,,,BACK,,,DRY,NAT,,GRV,,,,,5,5,0,,,,75,,,,,,5,20,N,N,,,,,85,,,,,,
,39,30.07.1928,5000,N,Drude,N,,O,,,Empetrum nigrum – Cladonia alpestris,A. Dedov,,,,,,,RU,Dedov's_historical_data,Kanin-Pechora,Kumushka river ,,,,,,,,,,,BACK,,,DRY,NAT,,GRV,,,,,5,5,0,,,,70,,,,,,0.5,30,N,N,,,,,90,,,,,,
,52,2.08.1928,5000,N,Drude,N,,O,,,Empetrum nigrum – Cladonia alpestris,A. Dedov,,,,,,,RU,Dedov's_historical_data,Kanin-Pechora,Pechkin ridge,,,,,,,,,,,EL_PLN,,,DRY,NAT,,LOM,,,,,5,5,0,,,,60,,,,,,0.5,35,N,N,,,,,100,,,,,,
,72,12.08.1928,8000,N,Drude,N,,O,,,Empetrum nigrum – Cladonia alpestris,A. Dedov,,,,,,,RU,Dedov's_historical_data,Kanin-Pechora,"Belaia river, ""Vorota""",,,,,,,,,,,BACK,,,-,NAT,,LOM,,,,,5,5,0,,,,65,,,,,,0.5,15,N,N,,,,,85,,,,,,
,73,12.08.1928,5000,N,Drude,N,,O,,,Empetrum nigrum – Cladonia alpestris,A. Dedov,,,,,,,RU,Dedov's_historical_data,Kanin-Pechora,"Belaia river, ""Vorota""",,,,,,,,,,,BACK,,,-,NAT,,LOM,,,,,5,5,0,,,,60,,,,,,0.5,35,N,N,,,,,90,,,,,,
,113,19.07.1930,750,N,Drude,N,,O,,,Empetrum nigrum – Cladonia silvatica,A. Dedov,,,,,,,RU,Dedov's_historical_data,Kanin-Pechora,Tiun`-Seda ridge,,,,,,,,,,,BACK,,,-,NAT,,LOM,,,,,5,5,0,,,,70,,,,,,15,20,N,N,,,,,98,,,,,,
,181,17.08.1930,4000,N,Drude,N,,O,,,Empetrum nigrum – Cladonia silvatica,A. Dedov,,,,,,,RU,Dedov's_historical_data,Kanin-Pechora,Molochnoe lake ,,,,,,,,,,,BACK,,,DRY,NAT,,LOM,,,,,5,5,0,,,,75,,,,,,15,20,N,N,,,,,100,,,,,,
,241,16.07.1931,10000,N,Drude,N,,O,,,Empetrum nigrum – Cladonia silvatica,A. Dedov,,,,,,,RU,Dedov's_historical_data,Kanin-Pechora,Uiar hill ,,,,,,,,,,,CRST,,,WET,DIS,,LOM,,,,,5,5,0,,,,65,,,,,,10,25,N,N,,,,,95,,,,,,
,253,22.07.1931,10000,N,Drude,N,,O,,,Empetrum nigrum – Cladonia silvatica,A. Dedov,,,,,,,RU,Dedov's_historical_data,Kanin-Pechora,Sareda river (Vel`ta river basin),,,,,,,,,,,EL_PLN,,,DRY,NAT,,LOM,,,,,5,5,0,,,,60,,,,,,15,25,N,N,,,,,95,,,,,,
,107,13.07.1930,600,N,Drude,N,,O,,,Empetrum – Dicranum ,A. Dedov,,,,,,,RU,Dedov's_historical_data,Kanin-Pechora,Kulebaka hill ,,,,,,,,,,,BACK,,,MST,NAT,,LOM,,,,,5,5,0,,,,65,,,,,,60,5,N,N,,,,,98,,,,,,
,128,4.08.1930,1500,N,Drude,N,,O,,,Empetrum – Dicranum ,A. Dedov,,,,,,,RU,Dedov's_historical_data,Kanin-Pechora,Obseda hill ,,,,,,,,,,,BACK,,,DRY,DIS,,LOM,,,,,5,5,0,,,,70,,,,,,60,5,N,N,,,,,95,,,,,,
,135,6.08.1930,700,N,Drude,N,,O,,,Empetrum – Dicranum ,A. Dedov,,,,,,,RU,Dedov's_historical_data,Kanin-Pechora,Tartcui` hill ,,,,,,,,,,,CRST,,,-,DIS,,LOM,,,,,5,5,0,,,,75,,,,,,50,0.5,N,N,,,,,85,,,,,,
,142,7.08.1930,600,N,Drude,N,,O,,,Empetrum – Dicranum ,A. Dedov,,,,,,,RU,Dedov's_historical_data,Kanin-Pechora,Tartcui` hill ,,,,,,,,,,,BACK,,,DRY,NAT,,LOM,,,,,5,5,0,,,,65,,,,,,65,5,N,N,,,,,100,,,,,,
,153,12.08.1930,5000,N,Drude,N,,O,,,Empetrum – Dicranum ,A. Dedov,,,,,,,RU,Dedov's_historical_data,Kanin-Pechora,Py`tet hill,,,,,,,,,,,BACK,,,DRY,NAT,,LOM,,,,,5,5,0,,,,65,,,,,,55,3,N,N,,,,,95,,,,,,
,159,13.08.1930,1000,N,Drude,N,,O,,,Empetrum – Dicranum ,A. Dedov,,,,,,,RU,Dedov's_historical_data,Kanin-Pechora,Py`tet hill ,,,,,,,,,,,BACK,,,MST,NAT,,LOM,,,,,5,5,0,,,,60,,,,,,60,0.5,N,N,,,,,95,,,,,,
,182,17.08.1930,200,N,Drude,N,,O,,,Empetrum – Dicranum ,A. Dedov,,,,,,,RU,Dedov's_historical_data,Kanin-Pechora,Molochnoe lake ,,,,,,,,,,,BACK,,,DRY,NAT,,LOM,,,,,5,5,0,,,,65,,,,,,60,5,N,N,,,,,95,,,,,,
,261,24.07.1931,1000,N,Drude,N,,O,,,Empetrum – Dicranum ,A. Dedov,,,,,,,RU,Dedov's_historical_data,Kanin-Pechora,Sareda river (Vel`ta river basin),,,,,,,,,,,EL_PLN,,,-,NAT,,GRV,,,,,5,5,0,,,,40,,,,,,25,3,N,N,,,,,60,,,,,,
,165,14.08.1930,600,N,Drude,N,,O,,,Empetrum – Polytrichum ,A. Dedov,,,,,,,RU,Dedov's_historical_data,Kanin-Pechora,Py`tet hill,,,,,,,,,,,BACK,,,DRY,NAT,,LOM,,,,,5,5,0,,,,50,,,,,,25,0.5,N,N,,,,,60,,,,,,
,371,28.08.1931,800,N,Drude,N,,O,,,Empetrum – Polytrichum ,A. Dedov,,,,,,,RU,Dedov's_historical_data,Kanin-Pechora,Mohovaia river mouth,,,,,,,,,,,SHLD,,,-,NAT,,LOM,,,,,5,5,0,,,,70,,,,,,70,5,N,N,,,,,95,,,,,,
,148,8.08.1930,20000,N,Drude,N,,O,,,Empetrum – Hylocomium proliferum,A. Dedov,,,,,,,RU,Dedov's_historical_data,Kanin-Pechora,Tulova hill,,,,,,,,,,,BACK,,,DRY,NAT,,LOM,,,,,5,5,0,,,,70,,,,,,65,2,N,N,,,,,100,,,,,,
,247,19.07.1931,1500,N,Drude,N,,O,,,Empetrum – Hylocomium proliferum,A. Dedov,,,,,,,RU,Dedov's_historical_data,Kanin-Pechora,Orlovaia hill,,,,,,,,,,,BACK,,,DRY,NAT,,LOM,,,,,5,5,0,,,,60,,,,,,65,0.5,N,N,,,,,90,,,,,,
,109,15.07.1930,300,N,Drude,N,,O,,,Vaccinium myrtillus – Dicranum majus,A. Dedov,,,,,,,RU,Dedov's_historical_data,Kanin-Pechora,Tiun`-Seda hill,,,,,,,,,,,FOOT,,,DRY,NAT,,LOM,,,,,5,5,0,,,,60,,,,,,60,5,N,N,,,,,100,,,,,,
,168,15.08.1930,250,N,Drude,N,,O,,,Vaccinium myrtillus – Polytrichum swartzii,A. Dedov,,,,,,,RU,Dedov's_historical_data,Kanin-Pechora,Py`tet hill,,,,,,,,,,,FOOT,,,DRY,NAT,,LOM,,,,,5,5,0,,,,70,,,,,,60,5,N,N,,,,,100,,,,,,
,293,15.08.1931,250,N,Drude,N,,O,,,Vaccinium myrtillus – Stereocaulon,A. Dedov,,,,,,,RU,Dedov's_historical_data,Kanin-Pechora,Ikcha lake,,,,,,,,,,,FOOT,,,DRY,NAT,,LOM,,,,,5,5,0,,,,70,,,,,,15,25,N,N,,,,,100,,,,,,
,140,7.08.1930,800,N,Drude,N,,O,,,Arctous alpina,A. Dedov,,,,,,,RU,Dedov's_historical_data,Kanin-Pechora,Tartcui` hill,,,,,,,,,,,CRST,,,DRY,NAT,,SND,,,,,5,5,0,,,,85,,,,,,3,7,N,N,,,,,95,,,,,,
,222,26.08.1930,400,N,Drude,N,,O,,,Arctous - Empetrum,A. Dedov,,,,,,,RU,Dedov's_historical_data,Kanin-Pechora,Sredniaia river,,,,,,,,,,,BACK,,,DRY,NAT,,SND,,,,,5,5,0,,,,60,,,,,,3,0.5,N,N,,,,,60,,,,,,
,266,30.07.1931,500,N,Drude,N,,O,,,Arctous alpina,A. Dedov,,,,,,,RU,Dedov's_historical_data,Kanin-Pechora,river Peschanka,,,,,,,,,,,LW_PLN,,,DRY,NAT,,SND,,,,,5,5,0,,,,35,,,,,,0,0.5,N,N,,,,65,35,,,,,,
,295,16.08.1931,300,N,Drude,N,,O,,,Arctous alpina,A. Dedov,,,,,,,RU,Dedov's_historical_data,Kanin-Pechora,Ikcha lake,,,,,,,,,,,BACK,,,DRY,NAT,,SND,,,,,5,5,0,,,,80,,,,,,0.5,5,N,N,,,,,80,,,,,,
