Empetrum nigrum,Empetrum nigrum L.,Empetrum nigrum,30,0,0,0,30,2,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,15,2,0,0,0,0,0,0,0,0.5,27,0.5,2,0,0,10,0,0.5,0,7,0,1,0.5,12,0,0,0,40,15,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,4,5,7,0,2,0,60,0,20,12,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ceratodon purpureus,Ceratodon purpureus (Hedw.) Brid.,Ceratodon purpureus,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pleurozium schreberi,Pleurozium schreberi (Willdenow ex Brid.) Mitt.,Pleurozium schreberi,1,0,0,10,2,5,3,40,80,0,6,10,6,80,4,0.5,0,0,4,0,0,0,0,0,0,15,0,0,80,3,0,0,3,0,0,0,0,0,0,0,20,2,12,85,10,0,0,60,40,20,7,0,25,3,60,0,11,0,0,0,0,0,50,0,0,0,0,20,0,0,9,0,0,0,0,0,5,0,0,0,0.5,0,0,10,5,0,60,0,0,0,0,0,0.5,0,0,0,0,0,20,3,0.5,0,3,30,0,30,0,5
Polytrichum juniperinum,Polytrichum juniperinum Hedw.,Polytrichum juniperinum,5,0,0,0,5,0,4,3,0,0,0,0.5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0.5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0
Polytrichum piliferum,Polytrichum piliferum Hedw.,Polytrichum piliferum,10,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5
Racomitrium lanuginosum,Racomitrium lanuginosum (Hedw.) Brid.,Racomitrium lanuginosum,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,2,0,1,2,0,0,0,0,1,0,0,2,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,2,7,0,0,0,0,0
Rhytidium rugosum,Rhytidium rugosum (Ehrh. ex Hedw.) Kindb.,Rhytidium rugosum,0.5,3,0,0,0.5,0,0,0,0,0,0,0,0,0,25,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,3,0,0,0,4,0,0,0,25,0,0,25,40,10,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
Ptilidium ciliare,Ptilidium ciliare (L.) Hampe,Ptilidium ciliare,2,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,6,0,5,0,0,4,0,0,0,0,0,6,0,0,0,30,0,0,0,15,0,0.5,0,0.5,0,0,0,2,0,0,0,0,0,0,0,10,0,25,0,0,0,0,0
Asahinea chrysantha,Asahinea chrysantha (Tuck.) Culb & C.Culb.,Asahinea chrysantha,0.5,0,0,0,0.5,0,0,0,0,2,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1,0,0,2,1,2,2,2,3,4,0,3,2,0,0,1,3,1,0,0,0,0,0,1,0,0,0,0,1,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0
Bryoria nitidula,Bryoria nitidula (Th. Fr.) Brodo & Hawksw.,Bryoria nitidula,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,3,0,0,0,3,0,0,0.5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Cetraria islandica,Cetraria islandica (L.) Ach.,Cetraria islandica,0.5,0,0,1,0.5,0.5,2,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,1,0.5,1,0,0,0,0,0,0,0,2,0.5,0,0.5,2,0,0,0.5,2,0.5,3,0.5,1,2,0.5,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,2,0,0,2,20,0,4,0,0,0,0.5,0,0,0,0.5,0,0.5,0,1,0,0,0,5,7,1,0,0.5,4,0.5,0,1,0,2,0.5,0,0.5,0,5
Cetraria nigricans,Cetraria nigricans Nyl.,Cetraria nigricans,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cladonia arbuscula s. lat.,Cladonia arbuscula s. lat. (Wallr.) Hale & W.Culb.,Cladonia arbuscula s. lat.,0.5,1,2,3,0,0.5,2,0,0.5,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,2,2,0.5,5,0,0,0,0,0,0,0,0,0.5,2,0.5,2,0,0,0.5,2,0.5,4,5,6,2,0.5,12,3,0,6,3,12,0,10,11,5,5,1,10,8,6,20,5,0,10,35,0,20,0,0,0,0.5,0,0,5,1,3,0,0,0,0,0,0,30,35,0.5,2,1,3,1,4,1,0,5,0.5,0.5,0.5,0.5,0.5
Cladonia rangiferina,Cladonia rangiferina (L.) Nyl.,Cladonia rangiferina,0.5,1,0,0,0,0,1,0,0.5,3,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0.5,3,0,0,5,1,0,2,3,2,0,2,2,0,3,0,5,3,0,17,0,0,3,15,0,4,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0.5,4,0,0,0,0,0,1,0,1,3,0,0,0.5,0.5,0.5
Cladonia stygia,Cladonia stygia (Fr.) Ruoss,Cladonia stygia,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0.5,0,1,0,0,0,0,0,0,0
Cladonia uncialis,Cladonia uncialis (L.) Wigg.,Cladonia uncialis,1,0,0,1,1,5,2,0,0.5,1,0,0,0,0,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,2,0,0,0,0,0,3,1,0,0.5,4,0,0,0,0,0.5,3,1,3,3,0.5,9,2,2,3,4,5,3,0,3,3,3,2,3,4,0,0,0,0,0,10,0,0,0,2,0,0,0,0,2,0.5,4,0,2,0,0,0,0,10,0,0.5,0,0,2,0,0,0.5,2,0,0.5,0,0,0,0.5
Dactylina arctica,Dactylina arctica (Richardson) Nyl.,Dactylina arctica,0.5,1,1,0.5,0.5,0,0,0,0,0.5,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0,0,0,1,1,0,1,0.5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0.5,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Flavocetraria cucullata,Flavocetraria cucullata (Bell.) K?rnefelt & Thell,Flavocetraria cucullata,0.5,1,2,0,0.5,0,2,0,0.5,1,0,0,0,0,3,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.5,0,0,0,1,1,0,0,0,2,2,2,1,2,2,0,2,1,0,2,3,0.5,0,3,1,2,0,1,0,0,0,1,0.5,0.5,0,0,0,0.5,0,0,2,0,0,0,0,5,10,0,0,0,0,0.5,0,0.5,2,2,0,0.5,0,0,0
Flavocetraria nivalis,Flavocetraria nivalis (L.) K?rnefelt & Thell,Flavocetraria nivalis,0.5,1,2,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,2,0,1,0,0,0,0,5,15,0,0,0,0,0,0,0,0,3,0,0,0,0.5,0
Nephroma arcticum,Nephroma arcticum (L.) Torss.,Nephroma arcticum,0.5,0,0,0.5,0.5,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.5,0,1,0.5,0,0,0,0.5,1,2,0,0,2,0,2,2,0,1,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peltigera scabrosa,Peltigera scabrosa Th. Fr.,Peltigera scabrosa,0.5,0,0,20,1,2,0,0.2,5,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,1,0,0,0,0,0,0,0,1,0.5,0,5,2,0,0,2,1,2,0,0,1,0,0,0,0,0,0,0.5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,2
Sphaerophorus globosus,Sphaerophorus globosus (Huds.) Vain.,Sphaerophorus globosus,0.5,2,2,0,1,0,0,0,0,0.5,0,0,0,0,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,2,1,3,1,0,1,3,0,10,12,0,3,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0
Thamnolia vermicularis s. vermicularis,Thamnolia vermicularis s. vermicularis (Sw.) Schaer.,Thamnolia vermicularis s. vermicularis,0.5,2,2,0,0.5,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1,1,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0.5,0,0,0,2,1,2,3,2,2,2,0,3,2,0,2,0.5,3,0,1,2,3,0,1,0,0,0,1,0,0.5,0,0,0,0.5,2,0,2,0,0,0,0,0.5,2,0,0,0,0,0,1,0.5,3,1,0,0,0,0,0
?,,?,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,10,1,10,0,0,0,0,0,0
Vaccinium vitis-idaea,Vaccinium vitis-idaea L.,Vaccinium vitis-idaea,0,2,2,0.5,0,0,0,0,0,10,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,5,0,0,0,0,0,3,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Empetrum nigrum,Empetrum nigrum L.,Empetrum nigrum,0,35,0,1,0,0,0,0,0,15,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,30,0,0,9,0,0,0,0,0,0,25,0,4,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
Alectoria ochroleuca,Alectoria ochroleuca (Hoffm.) Massal.,Alectoria ochroleuca,0,1,1,0,0.5,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,1,0.5,0,0,3,2,0,0,0,0,1,0,0,0,2,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0.5,2,0,0,0,0,0,0
Cladonia amaurocraea,Cladonia amaurocraea (Fl?rke) Schaer.,Cladonia amaurocraea,0,2,2,3,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,1,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,2,2,0,0,0,0,0
Stereocaulon species,Stereocaulon species,Stereocaulon species,0,2,2,2,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,3,0,2,0,0,4,2,1,1,2,3,6,2,3,2,0,0,3,1,0,2,0,0,3,0,0,0,0,0.5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0
Festuca ovina [s. ovina],Festuca ovina [s. ovina] L.,Festuca ovina [s. ovina],0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,3,0.5,0,0,0,0.5,0,0,0,0,0,0,0,3,0,2,2,5,0,0.5,0.5,0,0,0,0,0,7,10,0.5,0,0,0,0.5,2,3,5,10,0,0,3,0,3,0,0,2,2,0.5,1,3,3,2,3,0,2,2,4,0,4,5,6,0,0,1,4,7,0.5,0,0,0.5,10,0.5,0,0,0,0.5,0,0,0,0,0,0.5,2,0,0,0,0,0,0,0,0,0.5,2,5,0.5
Polytrichum species,Polytrichum species,Polytrichum species,0,0,10,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Bryocaulon divergens,Bryocaulon divergens (Ach.) K?rnefelt,Bryocaulon divergens,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,6,0,4,3,0,2,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solorina crocea,Solorina crocea (L.) Ach.,Solorina crocea,0,0,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0.5,0,1,0.5,0,0,0,0,0,1,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,1,0,0,0.5,4,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,7,5,0.5,1,0,0,0,0,0,0,0.5,0,0,0.5
Cladonia species,Cladonia species,Cladonia species,0,0,1,1,0,0,0.5,0,0,2,0,0,0,0,2,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0,0.5,0,3,0,0,0,0,1,3,0,0,0,3,0,0,0,0,0,6,0,0,5,0,0,0,0.5,0,0,1,2,0.5,0,2,1,0,1,0,0,0,0,2,0,2,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,3,0,0,0,1,0,0,0,0,0,0
Diphasiastrum alpinum,Diphasiastrum alpinum (L.) Holub,Diphasiastrum alpinum,0,0,0,0.5,0,0.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,20
Hierochlo? glabra s. sibirica,Hierochlo? glabra s. sibirica (Tzvelev) Tzvelev,Hierochlo? glabra s. sibirica,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deschampsia brevifolia,Deschampsia brevifolia R. Br.,Deschampsia brevifolia,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0.5,1,2,7,1,1,0,0,0.5,0,0,0,1,0.5
