RELEVE_NUMBER,FIELD RELEVE NUMBER,DATE (YEARMONTHDAY),RELEVE AREA (M2),RELEVE SHAPE,COVERSCALE,REPEAT SAMPLED (Y/N),COLLECTION,COLLECTION METHOD,SYNTAXON CODE,SYSTEM FOR PLANT COMMUNITY NAME,PLANT COMMUNITY NAME,AUTHOR CODE,REFERENCE FOR SPECIES DATA,TABLE NUMBER FOR SPECIES DATA,NUMBER OF RELEVE IN TABLE,REFERENCE FOR ENVIRONMENTAL DATA,TABLE NUMBER FOR ENVIRONMENTAL DATA,SUBZONE,COUNTRY CODE,DATASET,REGION,LOCATION,PHYSIOGRAPHIC DIVISION,PHYSIOGRAPHIC REGION SOURCE,GEOREFERENCE (Y/N),GEOREFERENCE SOURCE,GEOREFERENCE ACCURACY (M),LATITUDE WGS 84 (DD),LONGITUDEWGS84'(DD),ALTITUDE (M),SLOPE (DEGREES),ASPECT (DEGREES),TOPOGRAPHIC POSITION,SURFICIAL GEOLOGY,HABITAT TYPE ,SITE MOISTURE,DISTURBANCE,ORGANIC LAYER DEPTH (CM),SOIL TEXTURE  TOP MINERAL HORIZON,SOIL PH (at 10 cm),MOSSES IDENTIFIED (Y/N),LIVERWORTS IDENTIFIED (Y/N),LICHENS IDENTIFIED (Y/N),VASCULAR PLANT TAXONOMIC QUALITY ,CRYPTOGAM TAXONOMIC QUALITY,COVER TREE LAYER (%),COVER SHRUB LAYER (%),COVER TALL SHRUBS (%),COVER LOW SHRUBS (%),COVER ERECT DWARF-SHRUBS (%),COVER PROSTRATE DWARF-SHRUBS (%),COVER GRAMINOIDS (%),COVER TUSSOCK GRAMINOIDS (%),COVER FORBS (%),COVER SEEDLESS VASCULAR PLANTS (%),COVER MOSSES & LIVERWORTS (%),COVER LICHEN LAYER (%),COVER CRUST(%),COVER ALGAE LAYER (%),COVER BARE SOIL (%),COVER BARE ROCK (%),COVER OPEN WATER (%),COVER LITTER LAYER (%),COVER TOTAL (%),MEAN CANOPY HEIGHT (CM),MEAN TREE LAYER HEIGHT (CM),MEAN SHRUB LAYER HEIGHT (CM),MEAN HERB LAYER HEIGHT (CM),MEAN MOSS LAYER HEIGHT (CM),REMARKS
,87--93,17.08.1993,1,,B/BBDS,,,R,,B-B,Anthoxantho alpini–Deschampsietum flexuosae,Natalia Koroleva & Ekaterina Kopeina,,,,,,,RU,,Kola peninsula,"Reltyarsh lake, Salnyie tundry",,,Y,,,68.13388889,31.03055556,520,15,315,,,,,,,,,Y,,Y,1,1,0,0,0,0,,,,,,,25,0.05,,,,,,,100,,,,,,85
,4--93,12.07.2003,1,,B/BBDS,,,R,,B-B,Anthoxantho alpini–Deschampsietum flexuosae,Natalia Koroleva & Ekaterina Kopeina,,,,,,,RU,,Kola peninsula,"Sopchuaivench mountain (western slope), Monche-tundra",,,Y,,,67.90888889,32.72083333,400,7,270,,,,,,,,,Y,,Y,1,1,0,0,0,0,,,,,,,5,0,,,,,,,60,,,,,,55
,31--16,25.08.2016,4,,B/BBDS,,,R,,B-B,Anthoxantho alpini–Deschampsietum flexuosae,Natalia Koroleva & Ekaterina Kopeina,,,,,,,RU,,Kola peninsula,"Vudyavrchorr mountain, Khibini",,,Y,,,67.64527778,33.64027778,560,30,180,,,,,,,,,Y,,Y,1,1,0,0.05,0,0.05,,,,,,,80,0,,,,,,,85,,,,,,65
,32--16,25.08.2016,4,,B/BBDS,,,R,,B-B,Anthoxantho alpini–Deschampsietum flexuosae,Natalia Koroleva & Ekaterina Kopeina,,,,,,,RU,,Kola peninsula,"Vudyavrchorr mountain, Khibini",,,Y,,,67.64472222,33.64055556,550,0,-1,,,,,,,,,Y,,Y,1,1,0,0,0,0,,,,,,,15,1,,,,,,,90,,,,,,80
,35--16,25.08.2016,4,,B/BBDS,,,R,,B-B,Anthoxantho alpini–Deschampsietum flexuosae,Natalia Koroleva & Ekaterina Kopeina,,,,,,,RU,,Kola peninsula,"Vudyavrchorr mountain, Khibini",,,Y,,,67.64388889,33.63805556,580,15,135,,,,,,,,,Y,,Y,1,1,0,0,0,0,,,,,,,45,5,,,,,,,75,,,,,,40
,257--91,25.08.1991,4,,B/BBDS,,,R,,B-B,Anthoxantho alpini–Deschampsietum flexuosae,Natalia Koroleva & Ekaterina Kopeina,,,,,,,RU,,Kola peninsula,"Takhtarvumchorr mountain, Khibini",,,Y,,,67.65416667,33.61055556,480,5,270,,,,,,,,,Y,,Y,1,1,0,0,0,0,,,,,,,0.05,0,,,,,,,100,,,,,,100
,10--93,12.07.2003,4,,B/BBDS,,,R,,B-B,Anthoxantho alpini–Deschampsietum flexuosae,Natalia Koroleva & Ekaterina Kopeina,,,,,,,RU,,Kola peninsula,"Khipik mountain (western slope), Monche-tundra",,,Y,,,67.97527778,32.50805556,700,5,315,,,,,,,,,Y,,Y,1,1,0,0,0,0,,,,,,,10,1,,,,,,,95,,,,,,85
,94--93,17–18.08.1993,4,,B/BBDS,,,R,,B-B,Salici herbaceae–Caricetum bigelowii,Natalia Koroleva,,,,,,,RU,,Kola peninsula,"Reltyarsh lake, Salnyie tundry",,,Y,,,68.13944444,31.03055556,500,0,-1,,,,,,,,,Y,,Y,1,1,0,0.05,0,0.05,,,,,,,25,5,,,,,,,100,,,,,,90
,68--93,12–14.08.1993,4,,B/BBDS,,,R,,B-B,Salici herbaceae–Caricetum bigelowii,Natalia Koroleva,,,,,,,RU,,Kola peninsula,"Zasteid-2 mountain, left bank of Suavoi river, Salnie tundry",,,Y,,,68.14472222,31.06388889,400,3,45,,,,,,,,,Y,,Y,1,1,0,0,0,0,,,,,,,75,1,,,,,,,100,,,,,,75
,74--93,12–14.08.1993,4,,B/BBDS,,,R,,B-B,Salici herbaceae–Caricetum bigelowii,Natalia Koroleva,,,,,,,RU,,Kola peninsula,"Zasteid-2 mountain, left bank of Suavoi river, Salnie tundry",,,Y,,,68.14666667,31.06388889,500,0,-1,,,,,,,,,Y,,Y,1,1,0,0,0,0,,,,,,,75,1,,,,,,,100,,,,,,75
,68b--93,12–14.08.1993,1,,B/BBDS,,,R,,B-B,Salici herbaceae–Caricetum bigelowii,Natalia Koroleva,,,,,,,RU,,Kola peninsula,"Zasteid-2 mountain, left bank of Suavoi river, Salnie tundry",,,Y,,,68.14527778,31.05194444,400,5,45,,,,,,,,,Y,,Y,1,1,0,0,0,0,,,,,,,65,5,,,,,,,95,,,,,,70
,68c--93,12–14.08.1993,1,,B/BBDS,,,R,,B-B,Salici herbaceae–Caricetum bigelowii,Natalia Koroleva,,,,,,,RU,,Kola peninsula,"Zasteid-2 mountain, left bank of Suavoi river, Salnie tundry",,,Y,,,68.14527778,31.05194444,400,5,90,,,,,,,,,Y,,Y,1,1,0,0,0,0,,,,,,,75,0.05,,,,,,,100,,,,,,75
,69--93,12–14.08.1993,1,,B/BBDS,,,R,,B-B,Salici herbaceae–Caricetum bigelowii,Natalia Koroleva,,,,,,,RU,,Kola peninsula,"Zasteid-2 mountain, left bank of Suavoi river, Salnie tundry",,,Y,,,68.14444444,31.06333333,460,15,270,,,,,,,,,Y,,Y,1,1,0,0,0,0,,,,,,,85,0.05,,,,,,,100,,,,,,75
,83--93,17–18.08.1993,1,,B/BBDS,,,R,,B-B,Salici herbaceae–Caricetum bigelowii,Natalia Koroleva,,,,,,,RU,,Kola peninsula,"Reltyarsh lake, Salnyie tundry",,,Y,,,68.13944444,31.03055556,520,5,270,,,,,,,,,Y,,Y,1,1,0,0,0,0,,,,,,,0.05,5,,,,,,,95,,,,,,95
,84--93,17–18.08.1993,4,,B/BBDS,,,R,,B-B,Salici herbaceae–Caricetum bigelowii,Natalia Koroleva,,,,,,,RU,,Kola peninsula,"Reltyarsh lake, Salnyie tundry",,,Y,,,68.13944444,31.03055556,500,0,-1,,,,,,,,,Y,,Y,1,1,0,0,0,0,,,,,,,10,5,,,,,,,85,,,,,,85
,90b--93,17–18.08.1993,1,,B/BBDS,,,R,,B-B,Salici herbaceae–Caricetum bigelowii,Natalia Koroleva,,,,,,,RU,,Kola peninsula,"Reltyarsh lake, Salnyie tundry",,,Y,,,68.13944444,31.03055556,520,5,315,,,,,,,,,Y,,Y,1,1,0,0,0,0,,,,,,,25,0,,,,,,,100,,,,,,85
,95--93,17–18.08.1993,1,,B/BBDS,,,R,,B-B,Salici herbaceae–Caricetum bigelowii,Natalia Koroleva,,,,,,,RU,,Kola peninsula,"Reltyarsh lake, Salnyie tundry",,,Y,,,68.14388889,31.03,450,5,0,,,,,,,,,Y,,Y,1,1,0,1,0,1,,,,,,,50,0,,,,,,,95,,,,,,75
,191B,09.07.2014-10.07.2013 ,2,,B/BBDS,,,R,,B-B,Hieracio alpini–Caricetum bigelowii,Natalia Koroleva & Ekaterina Kopeina,,,,,,,RU,,Kola peninsula,"Left bank of small waterflow, Bezimynnyi pass, Khibini",,,Y,GPS,5,67.70667,33.65854,630,2,135,,,,,,,,,Y,,Y,1,1,0,0,0,0,,,,,,,25,0.05,,,,,,,65,,,,,,40
,192,09.07.2014-10.07.2013 ,8,,B/BBDS,,,R,,B-B,Hieracio alpini–Caricetum bigelowii,Natalia Koroleva & Ekaterina Kopeina,,,,,,,RU,,Kola peninsula,"Left bank of small waterflow, Bezimynnyi pass, Khibini",,,Y,GPS,5,67.70668,33.65816,629,3,135,,,,,,,,,Y,,Y,1,1,0,1,0,1,,,,,,,20,50,,,,,,,97,,,,,,50
,193,09.07.2014-10.07.2013 ,7,,B/BBDS,,,R,,B-B,Hieracio alpini–Caricetum bigelowii,Natalia Koroleva & Ekaterina Kopeina,,,,,,,RU,,Kola peninsula,"Left bank of small waterflow, Bezimynnyi pass, Khibini",,,Y,GPS,5,67.70777,33.67079,781,4,135,,,,,,,,,Y,,Y,1,1,0,0,0,0,,,,,,,10,10,,,,,,,100,,,,,,100
,194,10.07.2013,6,,B/BBDS,,,R,,B-B,Hieracio alpini–Caricetum bigelowii,Natalia Koroleva & Ekaterina Kopeina,,,,,,,RU,,Kola peninsula,"Right bank of small waterflow, Bezimynnyi pass, Khibini",,,Y,GPS,5,67.7115,33.66571,682,3,135,,,,,,,,,Y,,Y,1,1,0,0,0,0,,,,,,,10,2,,,,,,,80,,,,,,70
,195,10.07.2013 ,10,,B/BBDS,,,R,,B-B,Hieracio alpini–Caricetum bigelowii,Natalia Koroleva & Ekaterina Kopeina,,,,,,,RU,,Kola peninsula,"Kukisvumchorr mountain (Snezhnyi), Khibini",,,Y,GPS,5,67.7115,33.66571,682,1,135,,,,,,,,,Y,,Y,1,1,0,0.05,0,0.05,,,,,,,5,2.75,,,,,,,75,,,,,,70
,196,10.07.2014,10,,B/BBDS,,,R,,B-B,Hieracio alpini–Caricetum bigelowii,Natalia Koroleva & Ekaterina Kopeina,,,,,,,RU,,Kola peninsula,"Kukisvumchorr mountain (Snezhnyi), Khibini",,,Y,GPS,5,67.71112,33.66433,684,1,135,,,,,,,,,Y,,Y,1,1,0,0.05,0,0.05,,,,,,,35,10,,,,,,,80,,,,,,80
,197,10.07.2015,10,,B/BBDS,,,R,,B-B,Hieracio alpini–Caricetum bigelowii,Natalia Koroleva & Ekaterina Kopeina,,,,,,,RU,,Kola peninsula,"Kukisvumchorr mountain (Snezhnyi), Khibini",,,Y,GPS,5,67.70787,33.6601,651,1,135,,,,,,,,,Y,,Y,1,1,0,0,0,0,,,,,,,30,0.05,,,,,,,95,,,,,,75
,34--16,25.08.2016,4,,B/BBDS,,,R,,B-B,Hieracio alpini–Caricetum bigelowii,Natalia Koroleva & Ekaterina Kopeina,,,,,,,RU,,Kola peninsula,"Vudyavrchorr mountain (Botanical), Khibini",,,Y,GPS,5,67.64388889,33.63805556,580,45,135,,,,,,,,,Y,,Y,1,1,0,0.05,0,0.05,,,,,,,25,0,,,,,,,100,,,,,,90
,29?--16,25.08.2016,10,,B/BBDS,,,R,,B-B,Hieracio alpini–Caricetum bigelowii,Natalia Koroleva & Ekaterina Kopeina,,,,,,,RU,,Kola peninsula,"Vudyavrchorr mountain (Botanical), Khibini",,,Y,GPS,5,67.64388889,33.63805556,560,45,90,,,,,,,,,Y,,Y,1,1,0,0.05,0,0.05,,,,,,,40,0,,,,,,,90,,,,,,70
,46--01,11.07.2001,10,,B/BBDS,,,R,,B-B,Hieracio alpini–Caricetum bigelowii,Natalia Koroleva & Ekaterina Kopeina,,,,,,,RU,,Kola peninsula,"Geologists pass, Lovozerskie tundry",,,Y,GPS,5,67.88083333,34.50555556,600,15,270,,,,,,,,,Y,,Y,1,1,0,0,0,0,,,,,,,1,3,,,,,,,35,,,,,,30
,19-3K,26.07.1930,4,,HS-DR,,,O,,B-B,Potentillo crantzii–Polygonetum vivipari var. Agrostis borealis,R. Kalliola,"Kalliola, 1939",,,,,,RU,,Kola peninsula,"In between of Kemmikivitunturi and Keskitunturi mountains, Pechengskie tundry",,,Y,GE,500,69.3725,30.46472222,450,,-1,,,,,,,,,Y,,Y,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,
,19-4K,15.08.1930,4,,HS-DR,,,O,,B-B,Potentillo crantzii–Polygonetum vivipari var. Agrostis borealis,R. Kalliola,"Kalliola, 1939",,,,,,RU,,Kola peninsula,"Northern slope of Kuorpukas mountain, Pechengskie tundry",,,Y,GE,500,69.3725,30.46472222,475,,270,,,,,,,,,Y,,Y,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,
,19-5K,15.08.1930,4,,HS-DR,,,O,,B-B,Potentillo crantzii–Polygonetum vivipari var. Agrostis borealis,R. Kalliola,"Kalliola, 1939",,,,,,RU,,Kola peninsula,"Northern slope of Kuorpukas mountain, Pechengskie tundry",,,Y,GE,500,69.3725,30.46472222,475,,270,,,,,,,,,Y,,Y,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,
,19-6K,18.08.1930,4,,HS-DR,,,O,,B-B,Potentillo crantzii–Polygonetum vivipari var. Agrostis borealis,R. Kalliola,"Kalliola, 1939",,,,,,RU,,Kola peninsula,"Keskitunturi mountain, Pechengskie tundry",,,Y,GE,500,69.3725,30.46472222,375,,315,,,,,,,,,Y,,Y,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,
,19-7K,18.08.1930,4,,HS-DR,,,O,,B-B,Potentillo crantzii–Polygonetum vivipari var. Agrostis borealis,R. Kalliola,"Kalliola, 1939",,,,,,RU,,Kola peninsula,"Keskitunturi mountain, Pechengskie tundry",,,Y,GE,500,69.3725,30.46472222,375,,315,,,,,,,,,Y,,Y,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,
,19-8K,15.08.1935,4,,HS-DR,,,O,,B-B,Potentillo crantzii–Polygonetum vivipari var. Agrostis borealis,R. Kalliola,"Kalliola, 1939",,,,,,RU,,Kola peninsula,"? Kammikivitunturi mountain, Pechengskie tundry",,,Y,GE,500,69.3725,30.46472222,425,,-1,,,,,,,,,Y,,Y,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,
,19-9K,18.08.1935,4,,HS-DR,,,O,,B-B,Potentillo crantzii–Polygonetum vivipari var. Agrostis borealis,R. Kalliola,"Kalliola, 1939",,,,,,RU,,Kola peninsula,"Housuyarvi lake, Pechengskie tundry",,,Y,GE,500,69.3725,30.46472222,400,,-1,,,,,,,,,Y,,Y,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,
,19-10K,18.08.1935,4,,HS-DR,,,O,,B-B,Potentillo crantzii–Polygonetum vivipari var. Agrostis borealis,R. Kalliola,"Kalliola, 1939",,,,,,RU,,Kola peninsula,"Keskitunturi mountain, Pechengskie tundry",,,Y,GE,500,69.3725,30.46472222,400,,270,,,,,,,,,Y,,Y,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,
,19-11K,19.08.1935,4,,HS-DR,,,O,,B-B,Potentillo crantzii–Polygonetum vivipari var. Agrostis borealis,R. Kalliola,"Kalliola, 1939",,,,,,RU,,Kola peninsula,"Southern slope of Kuorpukas mountain, Pechengskie tundry",,,Y,GE,500,69.3725,30.46472222,550,,-1,,,,,,,,,Y,,Y,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,
,17--01,07.07.2001,2,,B/BBDS,,,R,,B-B,Salici reticulatae–Trollietum europaei,Natalia Koroleva & Ekaterina Kopeina,,,,,,,RU,,Kola peninsula,"Upper reaches of Kitkuai river, Lovozerskie tundry",,,Y,GPS,5,67.73638889,34.64555556,550,15,225,,,,,,,,,Y,,Y,1,1,0,0,0,0,,,,,,,50,0,,,,,,,75,,,,,,75
,254--91,25.08.1991,4,,B/BBDS,,,R,,B-B,Salici reticulatae–Trollietum europaei,Natalia Koroleva & Ekaterina Kopeina,,,,,,,RU,,Kola peninsula,"Takhtarvumchorr mountain, Khibini",,,Y,GPS,5,67.65416667,33.61055556,500,7,315,,,,,,,,,Y,,Y,1,1,0,0,0,0,,,,,,,25,0.05,,,,,,,100,,,,,,95
,5--93,12.07.2003,1,,B/BBDS,,,R,,B-B,Salici reticulatae–Trollietum europaei,Natalia Koroleva & Ekaterina Kopeina,,,,,,,RU,,Kola peninsula,"western slope of Sopchuaivench mountain, Monche-tundra",,,Y,GPS,5,67.90888889,32.72083333,450,5,270,,,,,,,,,Y,,Y,1,1,0,5,0,5,,,,,,,5,0,,,,,,,75,,,,,,65
,77--88,12.07.1988,4,,B/BBDS,,,R,,B-B,Salici reticulatae–Trollietum europaei,Natalia Koroleva & Ekaterina Kopeina,,,,,,,RU,,Kola peninsula,"Manepakh mountain, Khibini",,,Y,GPS,5,67.82222222,33.40472222,500,15,180,,,,,,,,,Y,,Y,1,1,0,10,0,10,,,,,,,75,1,,,,,,,100,,,,,,70
,55--88,04.07.1988,2,,B/BBDS,,,R,,B-B,Salici reticulatae–Trollietum europaei,Natalia Koroleva & Ekaterina Kopeina,,,,,,,RU,,Kola peninsula,"Vudyavchorr mountain, Khibini",,,Y,GPS,5,67.64666667,33.64777778,480,35,315,,,,,,,,,Y,,Y,1,1,0,5,0,5,,,,,,,25,0,,,,,,,100,,,,,,75
,83--88,14.07.1987,1,,B/BBDS,,,R,,B-B,Salici reticulatae–Trollietum europaei,Natalia Koroleva & Ekaterina Kopeina,,,,,,,RU,,Kola peninsula,"Everslogchorr mountain, Khibini",,,Y,GPS,5,67.66472222,33.84333333,750,15,135,,,,,,,,,Y,,Y,1,1,0,0,0,0,,,,,,,15,1,,,,,,,50,,,,,,50
,17--89b,06.07.1989,4,,B/BBDS,,,R,,B-B,Salici reticulatae–Trollietum europaei,Natalia Koroleva & Ekaterina Kopeina,,,,,,,RU,,Kola peninsula,"Kitchepakh mountain, Khibini",,,Y,GPS,5,67.70555556,34.24111111,470,45,180,,,,,,,,,Y,,Y,1,1,0,10,0,10,,,,,,,50,10,,,,,,,50,,,,,,50
,68--89,25.07.1989,4,,B/BBDS,,,R,,B-B,Salici reticulatae–Trollietum europaei,Natalia Koroleva & Ekaterina Kopeina,,,,,,,RU,,Kola peninsula,"Rasvumchorr mountain, Khibini",,,Y,GPS,5,67.58305556,33.78833333,600,5,180,,,,,,,,,Y,,Y,1,1,0,0,0,0,,,,,,,5,0,,,,,,,100,,,,,,100
,70--89,25.07.1989,4,,B/BBDS,,,R,,B-B,Salici reticulatae–Trollietum europaei,Natalia Koroleva & Ekaterina Kopeina,,,,,,,RU,,Kola peninsula,"Rasvumchorr mountain, Khibini",,,Y,GPS,5,67.58166667,33.78555556,570,15,180,,,,,,,,,Y,,Y,1,1,0,0,0,0,,,,,,,5,0,,,,,,,75,,,,,,75
,m1--16,28.06.2016,4,,B/BBDS,,,R,,B-B,Salici reticulatae–Trollietum europaei,Natalia Koroleva & Ekaterina Kopeina,,,,,,,RU,,Kola peninsula,"Takhtarvumchorr mountain, Khibini",,,Y,GPS,5,67.65361111,33.59972222,600,60,90,,,,,,,,,Y,,Y,1,1,0,1,0,1,,,,,,,50,0,,,,,,,100,,,,,,65
,184--89,13.08.1989,1,,B/BBDS,,,R,,B-B,Salici reticulatae–Trollietum europaei,Natalia Koroleva & Ekaterina Kopeina,,,,,,,RU,,Kola peninsula,"upper reaches of  Maivaltoyok river, Khibini",,,Y,GPS,5,67.8025,33.85194444,570,5,90,,,,,,,,,Y,,Y,1,1,0,0,0,0,,,,,,,25,0 ,,,,,,,100,,,,,,75
