AVARU_G1_Yambuto_lake_mtelyatnikov_2017_species_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset Title: Russian Arctic Vegetation Archive: Yambuto lake (G1) Vegetation Plots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset Author: Mikhail Telyatnikov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dataset Reference: Telyatnikov, M. Y., Troeva, E. I., Ermokhina, K. A., & Pristyazhnyuk, A. (2019). Vegetation of the two regions of the northern part of the Gydan Peninsula (the subzone of typical tundras). Turczaninowia, 22(4), 128–144. https://doi.org/10.14258/turczaninowia.22.4.14 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset Table: Modified Species Cover Data for Yambuto lake (G1) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset Notes: Percentage species cover scale is used. Taxa are listed in alphabetical order. Both the dataset author determinations and the current nomenclature according to the Panarctic Species List (PASL) are listed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,AUTHOR PLOT NUMBER,G1-1,G1-3,G1-6,G1-7,G1-8,G1-9,G1-12,G1-13,G1-15,G1-15a,G1-18,G1-20,G1-21,G1-23,G1-24,G1-26,G1-28,G1-30,G1-32,G1-33,G1-35,G1-37,G1-39,G1-41,G1-43,G1-45,G1-46,G1-48,G1-50,G1-52,G1-55,G1-56,G1-57,G1-58,G1-60,G1-62,G1-64,G1-66,G1-68,G1-69,G1-72,G1-73,G1-74,G1-76,G1-79,G1-80,G1-82,G1-84,G1-86,G1-88,G1-90,G1-92,G1-94,G1-95,G1-97,G1-99,G1-101,G1-103,G1-105,G1-107,G1-109,G1-111,G1-111a,G1-113,G1-115,G1-118,G1-119,G1-121,G1-124,G1-126,G1-127,G1-129,G1-131,G1-133,G1-135,G1-137,G1-139,G1-141,G1-143,G1-1-MT,G1-2-MT,G1-3-MT,G1-4-MT,G1-5-MT,G1-6-MT
Arctagrostis latifolia,Arctagrostis latifolia,Arctagrostis latifolia (R. Br.) Griseb.,0,0,0,0,0,0,2,0,0,0,6,5,5,0,5,3,0,2,0,7,0,0,0,0,3,0,0,1,5,0,0,0,0,3,3,0,0,2,0,2,0,3,4,0,0,0,0,0,3,2,0,0,0,5,0,1,3,0,0,0,0,0,0,2,0,4,3,2,3,0,5,6,6,0,0,0,2,4,1,0,3,2,0,0,6
Arctocetraria andrejevii,Arctocetraria andrejevii,Arctocetraria andrejevii (Oxner) KÄrnefelt & Thell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arctocetraria nigricascens,Arctocetraria nigricascens,Arctocetraria nigricascens (Nyl.) Elenkin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arctophila fulva,Arctophila fulva,Arctophila fulva (Trin.) Andersson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armeria maritima,Armeria maritima [s. maritima],Armeria maritima [s. maritima] (Mill.) Willd.,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arnica iljinii,Arnica iljinii,Arnica angustifolia s. iljinii (Maguire) I.K. Ferguson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Artemisia borealis,Artemisia borealis,Artemisia borealis Pall.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Artemisia tilesii,Artemisia tilesii,Artemisia tilesii Ledeb.,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Astragalus norvegicus,Astragalus norvegicus,Astragalus norvegicus Grauer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Astragalus subpolaris,Astragalus subpolaris,Astragalus alpinus v. arcticus (SondÂn) Lindm.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3
Aulacomnium palustre,Aulacomnium palustre,Aulacomnium palustre (Hedw.) Schwaegr.,0,0,0,0,0,0,3,0,0,5,0,0,0,20,3,6,2,0,0,0,0,0,0,0,0,0,0,20,40,35,0,35,50,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,7,6,0,0,0,0,0,10,0,10,2,6,0,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aulacomnium turgidum,Aulacomnium turgidum,Aulacomnium turgidum (Wahlenb.) Schwaegr.,5,0,2,0,0,0,4,0,0,3,5,4,5,4,3,5,2,4,5,5,8,2,5,5,4,6,0,20,40,35,0,40,10,5,5,0,4,0,5,0,0,6,5,4,0,0,0,1,5,6,5,0,4,0,0,0,3,0,2,10,10,2,3,0,0,17,6,0,0,6,10,10,0,0,0,5,6,4,20,0,10,10,0,10,60
Baeomyces placophyllus,Baeomyces placophyllus,Baeomyces placophyllus Ach.,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Betula nana,Betula nana,Betula nana L.,10,3,9,0,0,0,5,0,0,4,12,7,12,0,25,22,6,2,15,0,10,0,0,0,6,0,0,0,6,5,0,2,2,7,14,2,1,5,20,2,0,17,2,15,0,4,4,7,10,20,6,0,20,22,0,2,25,0,0,5,7,30,2,6,5,6,5,0,0,5,17,18,4,0,0,20,3,0,3,2,8,15,0,4,0
Biatora species,Bistorta species,Bistorta species ,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bistorta elliptica,Bistorta elliptica,Bistorta elliptica (Willd. ex Spreng.) Kom. ex V.V. Petrovsky,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.5,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,1,1,0,1,0,1,0.5,0,0,2,4,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,3,0,2,2
Bistorta elliptica,Bistorta elliptica,Bistorta elliptica (Willd. ex Spreng.) Kom. ex V.V. Petrovsky,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bistorta vivipara,Bistorta vivipara,Bistorta vivipara (L.) Delarbre,0,0,2,0,0,2,0,5,2,5,0,2,2,2,2,0,0,0,0,0,0,0.5,1,2,1,5,5,2,2,1,1,0,0,0,0,0,0,0,2,0,10,0,0,0,0,0,2,3,0,0,3,4,3,0,0,2,0,5,4,0,0,0,0,3,3,2,3,2,2,3,1,0,3,0,10,3,2,3,2,0,2,5,2,3,2
Blepharostoma trichophyllum,Blepharostoma trichophyllum (Linn.) Dumortier,Blepharostoma trichophyllum (L.) Dumort. var. brevirete Bryhn & Kaal.,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0.5,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0.5,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0
Brachythecium cirrosum,Brachythecium cirrosum,Cirriphyllum cirrosum (Schwaegr.) Grout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brachythecium albicans,Brachythecium albicans,Brachythecium albicans (Hedw.) B.S.G.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Brachythecium mildeanum,Brachythecium mildeanum,Brachythecium mildeanum (Schimp.) Schimp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Brachythecium salebrosum,Brachythecium salebrosum,Brachythecium salebrosum (Hoffm. ex Web. & D. Mohr) B.S.G.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Brachythecium turgidum,Brachythecium turgidum,Brachythecium turgidum (C.J. Hart.) Kindb.,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0
Bredleria pratensis,Breidleria pratensis,Hypnum pratense J. Koch ex Spruce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bryocaulon divergens,Bryocaulon divergens,Bryocaulon divergens (Ach.) KÄrnefelt,3,0,0,2,0,1,0.5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2,4,2,2,0,0,4,0.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0.5,1,0,0,0,0
Bryoria nitidula,Bryoria nitidula,Bryoria nitidula (Th. Fr.) Brodo & Hawksw.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,1,0.5,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0
Bryum bimum,Bryum bimum,Bryum pseudotriquetrum (Hedw.) P.G. Gaertn.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bryum caespiticium,Bryum caespiticium,Bryum caespiticium Hedw.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bryum capillare,Bryum capillare,Bryum capillare Hedw.,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bryum creberrimum,Bryum creberrimum,Bryum lisae v. cuspidatum ((Bruch & Schimp.) Margad.) De Not.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
Bryum cryophilum,Bryum cryophilum,Bryum cyclophyllum (Schwaegr.) Bruch & Schimp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bryum cyclophyllum,Bryum calophyllum,Bryum calophyllum R. Br.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bryum pseudotriquetrum,Bryum pseudotriquetrum,Bryum pseudotriquetrum (Hedw.) P.G. Gaertn.,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,2,3,17,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1
Calamagrostis groenlandica,Calamagrostis groenlandica,Calamagrostis neglecta s. groenlandica (Schrank) Matuszk.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calamagrostis holmii,Calamagrostis holmii,Calamagrostis holmii Lange,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0
Calamagrostis langsdorffii,Calamagrostis langsdorffii,Calamagrostis canadensis s. langsdorffii (Link) HultÂn,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calamagrostis lapponica,Calamagrostis lapponica,Calamagrostis lapponica (Wahlenb.) Hartm.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calamagrostis neglecta,Calamagrostis neglecta,Calamagrostis neglecta (Ehrh.) P. Gaertn.,0,0,2,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,3,1,0
Calliergon cordifolium,Calliergon cordifolium,Calliergon cordifolium (Hedw.) Kindb.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calliergon giganteum,Calliergon giganteum,Calliergon giganteum (Schimp.) Kindb.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calliergon megalophyllum,Calliergon megalophyllum,Calliergon megalophyllum Mikutowicz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
