RELEVE NUMBER,FIELD RELEVE NUMBER,DATE (YEARMONTHDAY),RELEVE AREA (M2),RELEVE SHAPE,COVERSCALE,REPEAT SAMPLED (Y/N),COLLECTION,COLLECTION METHOD,SYNTAXON CODE,SYSTEM FOR PLANT COMMUNITY NAME,PLANT COMMUNITY NAME,AUTHOR CODE,REFERENCE FOR SPECIES DATA,TABLE NUMBER FOR SPECIES DATA,NUMBER OF RELEVE IN TABLE,REFERENCE FOR ENVIRONMENTAL DATA,TABLE NUMBER FOR ENVIRONMENTAL DATA,SUBZONE,COUNTRY CODE,DATASET,REGION,LOCATION,PHYSIOGRAPHIC DIVISION,PHYSIOGRAPHIC REGION SOURCE,GEOREFERENCE (Y/N),GEOREFERENCE SOURCE,GEOREFERENCE ACCURACY (M),LATITUDE WGS 84 (DD),LONGITUDE WGS 84 (DD),ALTITUDE (M),SLOPE (DEGREES),ASPECT (DEGREES),TOPOGRAPHIC POSITION,SURFICIAL GEOLOGY,HABITAT TYPE ,SITE MOISTURE,DISTURBANCE,ORGANIC LAYER DEPTH (CM),SOIL TEXTURE  TOP MINERAL HORIZON,SOIL PH (at 10 cm),MOSSES IDENTIFIED (Y/N),LIVERWORTS IDENTIFIED (Y/N),LICHENS IDENTIFIED (Y/N),VASCULAR PLANT TAXONOMIC QUALITY ,CRYPTOGAM TAXONOMIC QUALITY,COVER TREE LAYER (%),COVER SHRUB LAYER (%),COVER TALL SHRUBS (%),COVER LOW SHRUBS (%),COVER ERECT DWARF-SHRUBS (%),COVER PROSTRATE DWARF-SHRUBS (%),COVER GRAMINOIDS (%),COVER TUSSOCK GRAMINOIDS (%),COVER FORBS (%),COVER SEEDLESS VASCULAR PLANTS (%),COVER MOSSES & LIVERWORTS (%),COVER LICHEN LAYER (%),COVER CRUST(%),COVER ALGAE LAYER (%),COVER BARE SOIL (%),COVER BARE ROCK (%),COVER OPEN WATER (%),COVER LITTER LAYER (%),COVER TOTAL (%),MEAN CANOPY HEIGHT (CM),MEAN TREE LAYER HEIGHT (CM),MEAN SHRUB LAYER HEIGHT (CM),MEAN HERB LAYER HEIGHT (CM),MEAN MOSS LAYER HEIGHT (CM),REMARKS
20923,7_1a,19980810,25,S,2,N,Y,R,05AA01,B-B,"Carici stantis?Warnstorfietum exannulatae Lavrinenko, Matveyeva, Lavrinenko 2016",Lavr,42,3,15,,,,RU,SC_LAVR,E,"Russia, Nenets autonimus District, River Pechora delta delta of Pechora River, Midle channel",,,Y,GPS,5,68.10177778,53.55186111,,0,,,,,,NAT,,,,Y,Y,Y,1,1,,1,,,,,,,,,25,0,,,,,1,,100,,,,,,herb layer cover 65%
20924,7_1c,19980810,25,S,2,N,Y,R,05AA01,B-B,"Carici stantis?Warnstorfietum exannulatae Lavrinenko, Matveyeva, Lavrinenko 2016",Lavr,42,3,16,,,,RU,SC_LAVR,E,"Russia, Nenets autonimus District, River Pechora delta delta of Pechora River, Midle channel",,,Y,GPS,5,68.10163889,53.55738889,,0,,,,,,NAT,,,,Y,Y,Y,1,1,,1,,,,,,,,,10,0,,,,,15,,85,,,,,,herb layer cover 70%
20925,T110,20110707,25,S,2,N,Y,R,05AA01,B-B,"Carici stantis?Warnstorfietum exannulatae Lavrinenko, Matveyeva, Lavrinenko 2016",Lavr,42,3,17,,,,RU,SC_LAVR,D,"Russia, Nenets autonimus District, Malozemel'skaya tundra Tobseda settlement, Kolokolkova Bay",,,Y,GPS,5,68.60083333,52.34861111,,1,27,,,,,NAT,,,,Y,Y,Y,1,1,,1,,,,,,,,,70,0,,,,,,,100,,,,,,herb layer cover 60%
20926,H99,20010816,25,S,2,N,Y,R,05AA01,B-B,"Carici stantis?Warnstorfietum exannulatae Lavrinenko, Matveyeva, Lavrinenko 2016",LavrO,42,3,18,,,,RU,SC_LAVR,D,"Russia, Nenets autonimus District, Malozemel'skaya tundra Hodovariha settlement, Russkii Zavorot peninsula",,,Y,GPS,5,68.93236111,53.78466667,,0,,,,,,NAT,,,,Y,Y,Y,1,1,,0,,,,,,,,,90,0,,,,,10,,90,,,,,,herb layer cover 70%
20927,T19,20110630,25,S,2,N,Y,R,05AA01,B-B,"Carici stantis?Warnstorfietum exannulatae Lavrinenko, Matveyeva, Lavrinenko 2016",Lavr,42,3,19,,,,RU,SC_LAVR,D,"Russia, Nenets autonimus District, Malozemel'skaya tundra Tobseda settlement, Kolokolkova Bay",,,Y,GPS,5,68.59163889,52.34852778,,0,,,,,,NAT,,,,Y,Y,Y,1,1,,0,,,,,,,,,95,0,,,,,,,100,,,,,,herb layer cover 60%
20928,K61,20130808,25,S,2,N,Y,R,05AA01,B-B,"Carici stantis?Warnstorfietum exannulatae Lavrinenko, Matveyeva, Lavrinenko 2016",Lavr,42,,,,,,RU,SC_LAVR,D,"Russia, Nenets autonimus District, Kolguev Island Peschanka River basin in the uppstream",,,Y,GPS,5,69.21827778,48.87452778,,1,18,,,,,NAT,,,,Y,Y,Y,1,1,,0,,,,,,,,,15,0,,,,,,,100,,,,,,herb layer cover 90%
20929,K46,20050901,25,S,2,N,Y,R,05AA01,B-B,"Carici stantis?Warnstorfietum exannulatae Lavrinenko, Matveyeva, Lavrinenko 2016",Lavr,42,,,,,,RU,SC_LAVR,D,"Russia, Nenets autonimus District, Kolguev Island Peschanka River basin in the downstream",,,Y,GPS,5,69.13141667,49.91008333,,0,,,,,,NAT,,,,Y,Y,Y,1,1,,0,,,,,,,,,5,0,,,,,10,,90,,,,,,herb layer cover 85%
20930,K138,20130826,25,S,2,N,Y,R,05AA01,B-B,"Carici stantis?Warnstorfietum exannulatae Lavrinenko, Matveyeva, Lavrinenko 2016",Lavr,42,,,,,,RU,SC_LAVR,D,"Russia, Nenets autonimus District, Kolguev Island Peschanka River basin in the uppstream",,,Y,GPS,5,69.18525,49.44266667,,0,,,,,,NAT,,,,Y,Y,Y,1,1,,0,,,,,,,,,30,0,,,,,,,100,,,,,,herb layer cover 90%
20931,K45,20120810,25,S,2,N,Y,R,05AA01,B-B,"Carici stantis?Warnstorfietum exannulatae Lavrinenko, Matveyeva, Lavrinenko 2016",Lavr,42,,,,,,RU,SC_LAVR,E,"Russia, Nenets autonimus District, Kolguev Island Bugryanka River basin",,,Y,GPS,5,68.85344444,49.26533333,,0,,,,,,NAT,,,,Y,Y,Y,1,1,,0,,,,,,,,,80,0,,,,,5,,95,,,,,,herb layer cover 70%
20932,9_17,19980822,25,S,2,N,Y,R,05AA01,B-B,"Carici stantis?Warnstorfietum exannulatae Lavrinenko, Matveyeva, Lavrinenko 2016",Lavr,42,,,,,,RU,SC_LAVR,,"Russia, Nenets autonimus District, Malozemel'skaya tundra Peschanka-To lake",,,Y,GPS,5,68.45916667,53.09694444,,0,,,,,,NAT,,,,Y,Y,Y,1,1,,1,,,,,,,,,70,0,,,,,5,,95,,,,,,herb layer cover 25%
20933,T26,20110627,25,S,2,N,Y,R,05AA01,B-B,"Carici stantis?Warnstorfietum exannulatae Lavrinenko, Matveyeva, Lavrinenko 2016",Lavr,42,,,,,,RU,SC_LAVR,D,"Russia, Nenets autonimus District, Malozemel'skaya tundra Tobseda settlement, Kolokolkova Bay",,,Y,GPS,5,68.58697222,52.33441667,,0,,,,,,NAT,,,,Y,Y,Y,1,1,,1,,,,,,,,,90,0,,,,,,,100,,,,,,herb layer cover 40%
20934,T92,20020726,25,S,2,N,Y,R,05AA01,B-B,"Carici stantis?Warnstorfietum exannulatae Lavrinenko, Matveyeva, Lavrinenko 2016",LavrO,42,,,,,,RU,SC_LAVR,D,"Russia, Nenets autonimus District, Malozemel'skaya tundra Tobseda settlement, Kolokolkova Bay",,,Y,GPS,5,,,,0,,,,,,NAT,,,,Y,Y,Y,1,1,,0,,,,,,,,,70,0,,,,,,,100,,,,,,herb layer cover 70%
20935,7_1b,19980810,25,S,2,N,Y,R,05AA01,B-B,"Carici stantis?Warnstorfietum exannulatae Lavrinenko, Matveyeva, Lavrinenko 2016",Lavr,42,,,,,,RU,SC_LAVR,D,"Russia, Nenets autonimus District, River Pechora delta delta of Pechora River, Midle channel",,,Y,GPS,5,68.10675,53.55333333,,0,,,,,,NAT,,,,Y,Y,Y,1,1,,0,,,,,,,,,1,0,,,,,30,,70,,,,,,herb layer cover 70%
20936,K59,20050903,25,S,2,N,Y,R,05AA01,B-B,"Carici stantis?Warnstorfietum exannulatae Lavrinenko, Matveyeva, Lavrinenko 2016",Lavr,42,,,,,,RU,SC_LAVR,D,"Russia, Nenets autonimus District, Kolguev Island Peschanka River basin in the downstream",,,Y,GPS,5,69.11583333,50.01144444,,0,,,,,,NAT,,,,Y,Y,Y,1,1,,0,,,,,,,,,60,0,,,,,,,100,,,,,,herb layer cover 40%
20937,B14,20080831,25,S,2,N,Y,R,05AA01,B-B,"Carici stantis?Warnstorfietum exannulatae Lavrinenko, Matveyeva, Lavrinenko 2016",LavrO,42,,,,,,RU,SC_LAVR,D,"Russia, Nenets autonimus District, Timanskaya tundra Belaya River basin",,,Y,GPS,5,67.32352778,49.05127778,,0,,,,,,NAT,,,,Y,Y,Y,1,1,,40,,,,,,,,,10,0,,,,,,,100,,,,,,herb layer cover 50%
20938,T16,20110630,25,S,2,N,Y,R,05AA01,B-B,"Carici stantis?Warnstorfietum exannulatae Lavrinenko, Matveyeva, Lavrinenko 2016",Lavr,42,,,,,,RU,SC_LAVR,D,"Russia, Nenets autonimus District, Malozemel'skaya tundra Tobseda settlement, Kolokolkova Bay",,,Y,GPS,5,68.58927778,52.35461111,,0,,,,,,NAT,,,,Y,Y,Y,1,1,,30,,,,,,,,,80,0,,,,,,,100,,,,,,herb layer cover 30%
20939,T127,20110710,25,S,2,N,Y,R,05AA01,B-B,"Carici stantis?Warnstorfietum exannulatae Lavrinenko, Matveyeva, Lavrinenko 2016",Lavr,42,,,,,,RU,SC_LAVR,D,"Russia, Nenets autonimus District, Malozemel'skaya tundra Tobseda settlement, Kolokolkova Bay",,,Y,GPS,5,68.58944444,52.35,,0,,,,,,NAT,,,,Y,Y,Y,1,1,,40,,,,,,,,,40,0,,,,,,,100,,,,,,herb layer cover 50%
20940,K128,20130824,25,S,2,N,Y,R,05AA01,B-B,"Carici stantis?Warnstorfietum exannulatae Lavrinenko, Matveyeva, Lavrinenko 2016",Lavr,42,3,20,,,,RU,SC_LAVR,D,"Russia, Nenets autonimus District, Kolguev Island Peschanka River basin in the uppstream",,,Y,GPS,5,69.19325,49.43941667,,0,,,,,,NAT,,,,Y,Y,Y,1,1,,0,,,,,,,,,80,0,,,,,,,100,,,,,,herb layer cover 80%
20941,H107,20010816,25,S,2,N,Y,R,05AA01,B-B,"Carici stantis?Warnstorfietum exannulatae Lavrinenko, Matveyeva, Lavrinenko 2016",LavrO,42,3,21,,,,RU,SC_LAVR,D,"Russia, Nenets autonimus District, Malozemel'skaya tundra Hodovariha settlement, Russkii Zavorot peninsula",,,Y,GPS,5,68.93869444,53.75288889,,0,,,,,,NAT,,,,Y,Y,Y,1,1,,0,,,,,,,,,20,0,,,,,,,80,,,,,,herb layer cover 80%
20942,K59a,20130808,25,S,2,N,Y,R,05AA01,B-B,"Carici stantis?Warnstorfietum exannulatae Lavrinenko, Matveyeva, Lavrinenko 2016",Lavr,42,3,22,,,,RU,SC_LAVR,D,"Russia, Nenets autonimus District, Kolguev Island Peschanka River basin in the uppstream",,,Y,GPS,5,69.22497222,48.86538889,,0,,,,,,NAT,,,,Y,Y,Y,1,1,,0,,,,,,,,,20,0,,,,,,,100,,,,,,herb layer cover 90%
20943,KN42,20010809,25,S,2,N,Y,R,05AA01,B-B,"Carici stantis?Warnstorfietum exannulatae Lavrinenko, Matveyeva, Lavrinenko 2016",LavrO,42,3,23,,,,RU,SC_LAVR,D,"Russia, Nenets autonimus District, Malozemel'skaya tundra Kuzneckiy Nos Cape",,,Y,GPS,5,68.83255556,53.92425,,0,,,,,,NAT,,,,Y,Y,Y,1,1,,0,,,,,,,,,90,0,,,,,10,,90,,,,,,herb layer cover 50%
20944,T103,20110702,25,S,2,N,Y,R,05AA01,B-B,"Carici stantis?Warnstorfietum exannulatae Lavrinenko, Matveyeva, Lavrinenko 2016",Lavr,42,3,24,,,,RU,SC_LAVR,D,"Russia, Nenets autonimus District, Malozemel'skaya tundra Tobseda settlement, Kolokolkova Bay",,,Y,GPS,5,68.6025,52.34638889,,0,,,,,,NAT,,,,Y,Y,Y,1,1,,1,,,,,,,,,50,0,,,,,20,,80,,,,,,herb layer cover 50%
20945,T123,20110708,25,S,2,N,Y,R,05AA01,B-B,"Carici stantis?Warnstorfietum exannulatae Lavrinenko, Matveyeva, Lavrinenko 2016",Lavr,42,3,25,,,,RU,SC_LAVR,D,"Russia, Nenets autonimus District, Malozemel'skaya tundra Tobseda settlement, Kolokolkova Bay",,,Y,GPS,5,68.61888889,52.46888889,,0,,,,,,NAT,,,,Y,Y,Y,1,1,,0,,,,,,,,,30,0,,,,,,,100,,,,,,herb layer cover 80%
20946,B16,20080831,25,S,2,N,Y,R,05AA01,B-B,"Carici stantis?Warnstorfietum exannulatae Lavrinenko, Matveyeva, Lavrinenko 2016",LavrO,42,3,26,,,,RU,SC_LAVR,D,"Russia, Nenets autonimus District, Timanskaya tundra Belaya River basin",,,Y,GPS,5,67.32247222,49.05277778,,0,,,,,,NAT,,,,Y,Y,Y,1,1,,0,,,,,,,,,5,0,,,,,20,,80,,,,,,herb layer cover 80%
20947,K55,20050903,25,S,2,N,Y,R,05AA01,B-B,"Carici stantis?Warnstorfietum exannulatae Lavrinenko, Matveyeva, Lavrinenko 2016",Lavr,42,3,27,,,,RU,SC_LAVR,D,"Russia, Nenets autonimus District, Kolguev Island Peschanka River basin in the downstream",,,Y,GPS,5,69.11280556,50.01552778,,0,,,,,,NAT,,,,Y,Y,Y,1,1,,0,,,,,,,,,40,0,,,,,20,,100,,,,,,herb layer cover 60%
20948,D18,20060704,25,S,2,N,Y,R,05AA01,B-B,"Carici stantis?Warnstorfietum exannulatae Lavrinenko, Matveyeva, Lavrinenko 2016",LavrO,42,3,28,,,,RU,SC_LAVR,,"Russia, Nenets autonimus District, Timanskaya tundra Svaytoi Nos Cape",,,Y,GPS,5,67.89305556,48.66283333,,0,,,,,,NAT,,,,Y,Y,Y,1,1,,0,,,,,,,,,80,1,,,,,,,100,,,,,,herb layer cover 60%
20949,T112,20110707,25,S,2,N,Y,R,05AA01,B-B,"Carici stantis?Warnstorfietum exannulatae Lavrinenko, Matveyeva, Lavrinenko 2016",Lavr,42,3,29,,,,RU,SC_LAVR,D,"Russia, Nenets autonimus District, Malozemel'skaya tundra Tobseda settlement, Kolokolkova Bay",,,Y,GPS,5,68.60194444,52.35,,0,,,,,,NAT,,,,Y,Y,Y,1,1,,0,,,,,,,,,10,0,,,,,,,95,,,,,,herb layer cover 85%
20950,T96,20020727,25,S,2,N,Y,R,05AA01,B-B,"Carici stantis?Warnstorfietum exannulatae Lavrinenko, Matveyeva, Lavrinenko 2016",LavrO,42,,,,,,RU,SC_LAVR,D,"Russia, Nenets autonimus District, Malozemel'skaya tundra Tobseda settlement, Kolokolkova Bay",,,Y,GPS,5,,,,0,,,,,,NAT,,,,Y,Y,Y,1,1,,0,,,,,,,,,90,0,,,,,,,100,,,,,,herb layer cover 30%
20951,T137,20110711,25,S,2,N,Y,R,05AA01,B-B,"Carici stantis?Warnstorfietum exannulatae Lavrinenko, Matveyeva, Lavrinenko 2016",Lavr,42,,,,,,RU,SC_LAVR,D,"Russia, Nenets autonimus District, Malozemel'skaya tundra Tobseda settlement, Kolokolkova Bay",,,Y,GPS,5,68.58777778,52.31333333,,0,,,,,,NAT,,,,Y,Y,Y,1,1,,0,,,,,,,,,10,0,,,,,50,,50,,,,,,herb layer cover 50%
20952,KN15,20010805,25,S,2,N,Y,R,05AA01,B-B,"Carici stantis?Warnstorfietum exannulatae Lavrinenko, Matveyeva, Lavrinenko 2016",LavrO,42,3,30,,,,RU,SC_LAVR,,"Russia, Nenets autonimus District, Malozemel'skaya tundra Kuzneckiy Nos Cape",,,Y,GPS,5,68.84161111,53.90086111,,0,,,,,,NAT,,,,Y,Y,Y,1,1,,0,,,,,,,,,90,0,,,,,,,100,,,,,,herb layer cover 60%
20953,T9,20110705,25,S,2,N,Y,R,05AA01,B-B,"Carici stantis?Warnstorfietum exannulatae Lavrinenko, Matveyeva, Lavrinenko 2016",Lavr,42,3,31,,,,RU,SC_LAVR,D,"Russia, Nenets autonimus District, Malozemel'skaya tundra Tobseda settlement, Kolokolkova Bay",,,Y,GPS,5,68.58836111,52.36177778,,0,,,,,,NAT,,,,Y,Y,Y,1,1,,0,,,,,,,,,50,0,,,,,,,100,,,,,,herb layer cover 60%
20954,K36,20120807,25,S,2,N,Y,R,05AA01,B-B,"Carici stantis?Warnstorfietum exannulatae Lavrinenko, Matveyeva, Lavrinenko 2016",Lavr,42,3,32,,,,RU,SC_LAVR,E,"Russia, Nenets autonimus District, Kolguev Island Bugryanka River basin",,,Y,GPS,5,68.87566667,49.24975,,0,,,,,,NAT,,,,Y,Y,Y,1,1,,0,,,,,,,,,90,0,,,,,5,,100,,,,,,herb layer cover 30%
20955,KN96,20010813,25,S,2,N,Y,R,05AA01,B-B,"Carici stantis?Warnstorfietum exannulatae Lavrinenko, Matveyeva, Lavrinenko 2016",LavrO,42,3,33,,,,RU,SC_LAVR,,"Russia, Nenets autonimus District, Malozemel'skaya tundra Kuzneckiy Nos Cape",,,Y,GPS,5,68.86013889,53.63113889,,0,,,,,,NAT,,,,Y,Y,Y,1,1,,0,,,,,,,,,90,0,,,,,,,100,,,,,,herb layer cover 70%
