RELEVE NUMBER,FIELD RELEVE NUMBER,DATE (YEARMONTHDAY),RELEVE AREA (M2),RELEVE SHAPE,COVERSCALE,REPEAT SAMPLED (Y/N),COLLECTION,COLLECTION METHOD,SYNTAXON CODE,SYSTEM FOR PLANT COMMUNITY NAME,PLANT COMMUNITY NAME,AUTHOR CODE,REFERENCE FOR SPECIES DATA,TABLE NUMBER FOR SPECIES DATA,NUMBER OF RELEVE IN TABLE,REFERENCE FOR ENVIRONMENTAL DATA,TABLE NUMBER FOR ENVIRONMENTAL DATA,SUBZONE,COUNTRY CODE,DATASET,REGION,LOCATION,PHYSIOGRAPHIC DIVISION,PHYSIOGRAPHIC REGION SOURCE,GEOREFERENCE (Y/N),GEOREFERENCE SOURCE,GEOREFERENCE ACCURACY (M),LATITUDE WGS 84 (DD),LONGITUDE WGS 84 (DD),ALTITUDE (M),SLOPE (DEGREES),ASPECT (DEGREES),TOPOGRAPHIC POSITION,SURFICIAL GEOLOGY,HABITAT TYPE ,SITE MOISTURE,DISTURBANCE,ORGANIC LAYER DEPTH (CM),SOIL TEXTURE  TOP MINERAL HORIZON,SOIL PH (at 10 cm),MOSSES IDENTIFIED (Y/N),LIVERWORTS IDENTIFIED (Y/N),LICHENS IDENTIFIED (Y/N),VASCULAR PLANT TAXONOMIC QUALITY ,CRYPTOGAM TAXONOMIC QUALITY,COVER TREE LAYER (%),COVER SHRUB LAYER (%),COVER TALL SHRUBS (%),COVER LOW SHRUBS (%),COVER ERECT DWARF-SHRUBS (%),COVER PROSTRATE DWARF-SHRUBS (%),COVER GRAMINOIDS (%),COVER TUSSOCK GRAMINOIDS (%),COVER FORBS (%),COVER SEEDLESS VASCULAR PLANTS (%),COVER MOSSES & LIVERWORTS (%),COVER LICHEN LAYER (%),COVER CRUST(%),COVER ALGAE LAYER (%),COVER BARE SOIL (%),COVER BARE ROCK (%),COVER OPEN WATER (%),COVER LITTER LAYER (%),COVER TOTAL (%),MEAN CANOPY HEIGHT (CM),MEAN TREE LAYER HEIGHT (CM),MEAN SHRUB LAYER HEIGHT (CM),MEAN HERB LAYER HEIGHT (CM),MEAN MOSS LAYER HEIGHT (CM),REBMARKS
21084,55,,,S,1,N,R,,,B-B,Cetrariello delisi–Gymnomitrietum corallioides,NM,43,3,14,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,3,90,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,80,20,,,,,,,100,,0,0,,,
21085,54,,,S,1,N,R,,,B-B,Cetrariello delisi–Gymnomitrietum corallioides,NM,43,3,18,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,15,135,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,80,20,,,,,,,100,,0,0,,,
21086,56,,,S,1,N,R,,,B-B,Cetrariello delisi–Gymnomitrietum corallioides,NM,43,3,19,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,5,270,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,90,5,,,,,,,100,,0,0,,,
21087,57,,,S,1,N,R,,,B-B,Cetrariello delisi–Gymnomitrietum corallioides,NM,43,3,21,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,3,225,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,90,10,,,,,,,100,,0,0,,,
21088,58,,,S,1,N,R,,,B-B,Cetrariello delisi–Gymnomitrietum corallioides,NM,43,3,15,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,2,90,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,95,5,,,,,,,100,,0,0,,,
21089,59,,,S,1,N,R,,,B-B,Cetrariello delisi–Gymnomitrietum corallioides,NM,43,3,20,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,3,180,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,80,20,,,,,,,100,,0,0,,,
21090,60,,,S,1,N,R,,,B-B,Cetrariello delisi–Gymnomitrietum corallioides,NM,43,3,12,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,0,-1,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,95,+,,,,,,,95,,0,0,,,
21091,151,,,S,1,N,R,,,B-B,Flavocetrario cucullatae-Gymnomitrietum corallioides,NM,43,3,26,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,5,270,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,100,40,,,,,,,100,,0,0,,,
21092,152,,,S,1,N,R,,,B-B,Flavocetrario cucullatae-Gymnomitrietum corallioides,NM,43,3,23,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,3,270,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,100,50,,,,,,,100,,0,0,,,
21093,153,,,S,1,N,R,,,B-B,Flavocetrario cucullatae-Gymnomitrietum corallioides,NM,43,3,22,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,5,270,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,100,40,,,,,,,100,,0,0,,,
21094,154,,,S,1,N,R,,,B-B,Flavocetrario cucullatae-Gymnomitrietum corallioides,NM,43,3,24,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,5,225,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,100,40,,,,,,,100,,0,0,,,
21095,155,,,S,1,N,R,,,B-B,Flavocetrario cucullatae-Gymnomitrietum corallioides,NM,43,3,25,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,3,180,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,90,40,,,,,,,95,,0,0,,,
21096,31,,,S,1,N,R,,,B-B,Gymnomitrio corallioides-Racomitrietum lanuginosi,NM,43,3,27,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,0,-1,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,97,1,,,,,,,100,,0,0,,,
21097,34,,,S,1,N,R,,,B-B,Gymnomitrio corallioides-Racomitrietum lanuginosi,NM,43,3,28,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,1,90,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,80,10,,,,,,,100,,0,0,,,
21098,36,,,S,1,N,R,,,B-B,Gymnomitrio corallioides-Racomitrietum lanuginosi,NM,43,3,34,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,0,-1,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,90,10,,,,,,,100,,0,0,,,
21099,37,,,S,1,N,R,,,B-B,Gymnomitrio corallioides-Racomitrietum lanuginosi,NM,43,3,32,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,0,-1,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,90,10,,,,,,,100,,0,0,,,
21100,35,,,S,1,N,R,,,B-B,Gymnomitrio corallioides-Racomitrietum lanuginosi,NM,43,3,31,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,10,135,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,90,5,,,,,,,100,,0,0,,,
21101,32,,,S,1,N,R,,,B-B,Gymnomitrio corallioides-Racomitrietum lanuginosi,NM,43,3,30,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,0,-1,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,94,5,,,,,,,99,,0,0,,,
21102,33,,,S,1,N,R,,,B-B,Gymnomitrio corallioides-Racomitrietum lanuginosi,NM,43,3,35,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,1,135,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,95,5,,,,,,,100,,0,0,,,
21103,38,,,S,1,N,R,,,B-B,Gymnomitrio corallioides-Racomitrietum lanuginosi,NM,43,3,36,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,3,360,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,95,5,,,,,,,97,,0,0,,,
21104,39,,,S,1,N,R,,,B-B,Gymnomitrio corallioides-Racomitrietum lanuginosi,NM,43,3,29,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,0,-1,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,95,5,,,,,,,97,,0,0,,,
21105,40,,,S,1,N,R,,,B-B,Gymnomitrio corallioides-Racomitrietum lanuginosi,NM,43,3,33,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,0,-1,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,95,10,,,,,,,99,,0,0,,,
21106,11,,,S,1,N,R,,,B-B,Deschampsio-Aulacomnietum turgidi,NM,43,2,12,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,2,270,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,60,10,,,,,,,80,,0,0,,,
21107,12,,,S,1,N,R,,,B-B,Deschampsio-Aulacomnietum turgidi,NM,43,2,15,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,0,-1,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,50,5,,,,,,,50,,0,0,,,
21108,22,,,S,1,N,R,,,B-B,Deschampsio-Aulacomnietum turgidi,NM,43,2,4,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,0,-1,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,40,5,,,,,,,40,,0,0,,,
21109,23,,,S,1,N,R,,,B-B,Deschampsio-Aulacomnietum turgidi,NM,43,2,5,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,0,-1,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,20,2,,,,,,,25,,0,0,,,
21110,24,,,S,1,N,R,,,B-B,Deschampsio-Aulacomnietum turgidi,NM,43,2,1,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,2,270,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,20,5,,,,,,,30,,0,0,,,
21111,25,,,S,1,N,R,,,B-B,Deschampsio-Aulacomnietum turgidi,NM,43,2,2,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,0,-1,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,15,5,,,,,,,25,,0,0,,,
21112,21,,,S,1,N,R,,,B-B,Deschampsio-Aulacomnietum turgidi,NM,43,2,6,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,0,-1,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,15,5,,,,,,,25,,0,0,,,
21113,26,,,S,1,N,R,,,B-B,Deschampsio-Aulacomnietum turgidi,NM,43,2,3,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,0,-1,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,10,1,,,,,,,10,,0,0,,,
21114,1,,,S,1,N,R,,,B-B,Deschampsio-Aulacomnietum turgidi,NM,43,2,11,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,0,-1,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,40,5,,,,,,,50,,0,0,,,
21115,2,,,S,1,N,R,,,B-B,Deschampsio-Aulacomnietum turgidi,NM,43,2,8,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,0,-1,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,20,5,,,,,,,30,,0,0,,,
21116,3,,,S,1,N,R,,,B-B,Deschampsio-Aulacomnietum turgidi,NM,43,2,13,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,0,-1,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,60,5,,,,,,,70,,0,0,,,
21117,4,,,S,1,N,R,,,B-B,Deschampsio-Aulacomnietum turgidi,NM,43,2,9,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,0,-1,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,25,2,,,,,,,30,,0,0,,,
21118,5,,,S,1,N,R,,,B-B,Deschampsio-Aulacomnietum turgidi,NM,43,2,10,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,2,180,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,60,5,,,,,,,70,,0,0,,,
21119,6,,,S,1,N,R,,,B-B,Deschampsio-Aulacomnietum turgidi,NM,43,2,14,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,0,-1,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,20,10,,,,,,,30,,0,0,,,
21120,7,,,S,1,N,R,,,B-B,Deschampsio-Aulacomnietum turgidi,NM,43,2,7,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,0,-1,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,20,10,,,,,,,20,,0,0,,,
21121,8,,,S,1,N,R,,,B-B,Deschampsio-Aulacomnietum turgidi,NM,43,2,16,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,0,-1,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,20,5,,,,,,,30,,0,0,,,
21122,9,,,S,1,N,R,,,B-B,Deschampsio-Aulacomnietum turgidi,NM,43,2,17,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,0,-1,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,30,5,,,,,,,35,,0,0,,,
21123,10,,,S,1,N,R,,,B-B,Deschampsio-Aulacomnietum turgidi,NM,43,2,18,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,0,-1,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,30,20,,,,,,,50,,0,0,,,
21124,41,,,S,1,N,R,,,B-B,Stellario edwardsii–Hylocomietum alaskani subass. saxifragetosum cespitosae,NM,43,2,21,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,1,135,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,35,3,,,,,,,40,,0,0,,,
21125,42,,,S,1,N,R,,,B-B,Stellario edwardsii–Hylocomietum alaskani subass. saxifragetosum cespitosae,NM,43,2,24,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,4,180,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,40,10,,,,,,,50,,0,0,,,
21126,43,,,S,1,N,R,,,B-B,Stellario edwardsii–Hylocomietum alaskani subass. saxifragetosum cespitosae,NM,43,2,28,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,2,180,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,20,10,,,,,,,40,,0,0,,,
