RELEVE NUMBER,FIELD RELEVE NUMBER,DATE (YEARMONTHDAY),RELEVE AREA (M2),RELEVE SHAPE,COVERSCALE,REPEAT SAMPLED (Y/N),COLLECTION,COLLECTION METHOD,SYNTAXON CODE,SYSTEM FOR PLANT COMMUNITY NAME,PLANT COMMUNITY NAME,AUTHOR CODE,REFERENCE FOR SPECIES DATA,TABLE NUMBER FOR SPECIES DATA,NUMBER OF RELEVE IN TABLE,REFERENCE FOR ENVIRONMENTAL DATA,TABLE NUMBER FOR ENVIRONMENTAL DATA,SUBZONE,COUNTRY CODE,DATASET,REGION,LOCATION,PHYSIOGRAPHIC DIVISION,PHYSIOGRAPHIC REGION SOURCE,GEOREFERENCE (Y/N),GEOREFERENCE SOURCE,GEOREFERENCE ACCURACY (M),LATITUDE WGS 84 (DD),LONGITUDE WGS 84 (DD),ALTITUDE (M),SLOPE (DEGREES),ASPECT (DEGREES),TOPOGRAPHIC POSITION,SURFICIAL GEOLOGY,HABITAT TYPE ,SITE MOISTURE,DISTURBANCE,ORGANIC LAYER DEPTH (CM),SOIL TEXTURE  TOP MINERAL HORIZON,SOIL PH (at 10 cm),MOSSES IDENTIFIED (Y/N),LIVERWORTS IDENTIFIED (Y/N),LICHENS IDENTIFIED (Y/N),VASCULAR PLANT TAXONOMIC QUALITY ,CRYPTOGAM TAXONOMIC QUALITY,COVER TREE LAYER (%),COVER SHRUB LAYER (%),COVER TALL SHRUBS (%),COVER LOW SHRUBS (%),COVER ERECT DWARF-SHRUBS (%),COVER PROSTRATE DWARF-SHRUBS (%),COVER GRAMINOIDS (%),COVER TUSSOCK GRAMINOIDS (%),COVER FORBS (%),COVER SEEDLESS VASCULAR PLANTS (%),COVER MOSSES & LIVERWORTS (%),COVER LICHEN LAYER (%),COVER CRUST(%),COVER ALGAE LAYER (%),COVER BARE SOIL (%),COVER BARE ROCK (%),COVER OPEN WATER (%),COVER LITTER LAYER (%),COVER TOTAL (%),MEAN CANOPY HEIGHT (CM),MEAN TREE LAYER HEIGHT (CM),MEAN SHRUB LAYER HEIGHT (CM),MEAN HERB LAYER HEIGHT (CM),MEAN MOSS LAYER HEIGHT (CM),REBMARKS
20741,542-1,,,,2,,R,,16,B-B,Association Oxytropidi wrangelii-Diyadetum integrifoliae,SKH,39,,,39,,B,RU,Wrangel_island,25,,,,Y,GPS,,71.279015,-178.834952,75,1,360,,,,,,,,,Y,Y,Y,1,1,0,,,,,,,,,,50,8,,,,,,,70,,0,,,,in orig. cover for vascular plants is 50%
20742,157n,,,,2,,R,,16,B-B,Association Oxytropidi wrangelii-Diyadetum integrifoliae,SKH,39,,,39,,B,RU,Wrangel_island,25,,,,Y,GPS,,71.157624,178.968158,190,2,315,,,,,,,,,Y,Y,Y,1,1,0,,,,,,,,,,18,10,,,,,,,50,,0,,,,in orig. cover for vascular plants is 45%
20743,309-4,,,,2,,R,,16,B-B,Association Oxytropidi wrangelii-Diyadetum integrifoliae,SKH,39,,,39,,B,RU,Wrangel_island,25,,,,N,,,,,160,3,270,,,,,,,,,Y,Y,Y,1,1,0,,,,,,,,,,15,10,,,,,,,65,,0,,,,in orig. cover for vascular plants is 60%
20744,343-2,,,,2,,R,,16,B-B,Association Oxytropidi wrangelii-Diyadetum integrifoliae,SKH,39,,,39,,B,RU,Wrangel_island,25,,,,N,,,,,165,4,135,,,,,,,,,Y,Y,Y,1,1,0,,,,,,,,,,7,10,,,,,,,25,,0,,,,in orig. cover for vascular plants is 20%
20745,293c,,,,2,,R,,16,B-B,Association Oxytropidi wrangelii-Diyadetum integrifoliae,SKH,39,,,39,,B,RU,Wrangel_island,25,,,,Y,GPS,,70.9689,-179.583438,65,2,225,,,,,,,,,Y,Y,Y,1,1,0,,,,,,,,,,70,1,,,,,,,80,,0,,,,in orig. cover for vascular plants is 60%
20746,38-4,,,,2,,R,,16,B-B,Association Oxytropidi wrangelii-Diyadetum integrifoliae,SKH,39,,,39,,B,RU,Wrangel_island,25,,,,N,,,,,40,5,315,,,,,,,,,Y,Y,Y,1,1,0,,,,,,,,,,18,3,,,,,,,65,,0,,,,in orig. cover for vascular plants is 55%
20747,37-1,,,,2,,R,,16,B-B,Association Oxytropidi wrangelii-Diyadetum integrifoliae,SKH,39,,,39,,B,RU,Wrangel_island,25,,,,Y,GPS,,71.178464,179.001164,60,5,90,,,,,,,,,Y,Y,Y,1,1,0,,,,,,,,,,5,1,,,,,,,35,,0,,,,in orig. cover for vascular plants is 30%
20748,107a-n,,,,2,,R,,16,B-B,Association Oxytropidi wrangelii-Diyadetum integrifoliae,SKH,39,,,39,,B,RU,Wrangel_island,25,,,,Y,GPS,,71.291667,179.392706,170,7,180,,,,,,,,,Y,Y,Y,1,1,0,,,,,,,,,,10,1,,,,,,,50,,0,,,,in orig. cover for vascular plants is 40%; Packera hyperborealis (in DATASET TAXON recorded as Tephroseris hyperborealis) = Tephroseris hyperborealis subsp. wrangelica
20749,17-9,,,,2,,R,,16,B-B,Association Oxytropidi wrangelii-Diyadetum integrifoliae,SKH,39,,,39,,B,RU,Wrangel_island,25,,,,N,,,,,40,3,203,,,,,,,,,Y,Y,Y,1,1,0,,,,,,,,,,45,5,,,,,,,70,,0,,,,in orig. cover for vascular plants is 50%
20750,390,,,,2,,R,,16,B-B,Association Oxytropidi wrangelii-Diyadetum integrifoliae,SKH,39,,,39,,B,RU,Wrangel_island,25,,,,Y,GPS,,71.277853,-179.671533,90,3,135,,,,,,,,,Y,Y,Y,1,1,0,,,,,,,,,,30,7,,,,,,,70,,0,,,,in orig. cover for vascular plants is 45%; Packera hyperborealis (in DATASET TAXON recorded as Tephroseris hyperborealis) = Tephroseris hyperborealis subsp. wrangelica
20751,394-3,,,,2,,R,,16,B-B,Association Oxytropidi wrangelii-Diyadetum integrifoliae,SKH,39,,,39,,B,RU,Wrangel_island,25,,,,N,,,,,180,1,360,,,,,,,,,Y,Y,Y,1,1,0,,,,,,,,,,7,3,,,,,,,25,,0,,,,in orig. cover for vascular plants is 20%
20752,44-1,,,,2,,R,,16,B-B,Association Oxytropidi wrangelii-Diyadetum integrifoliae,SKH,39,,,39,,B,RU,Wrangel_island,25,,,,Y,GPS,,71.147291,179.153043,40,-1,-1,,,,,,,,,Y,Y,Y,1,1,0,,,,,,,,,,20,3,,,,,,,100,,0,,,,in orig. cover for vascular plants is 85%; Hypnum species = Stereodon holmenii
20753,30c,,,,2,,R,,16,B-B,Association Oxytropidi wrangelii-Diyadetum integrifoliae,SKH,39,,,39,,B,RU,Wrangel_island,25,,,,Y,GPS,,70.956487,-179.603741,42,2,180,,,,,,,,,Y,Y,Y,1,1,0,,,,,,,,,,45,1,,,,,,,60,,0,,,,in orig. cover for vascular plants is 55%
20754,79v-n,,,,2,,R,,16,B-B,Association Oxytropidi wrangelii-Diyadetum integrifoliae,SKH,39,,,39,,B,RU,Wrangel_island,25,,,,Y,GPS,,71.21392,179.049075,170,7,180,,,,,,,,,Y,Y,Y,1,1,0,,,,,,,,,,15,7,,,,,,,80,,0,,,,in orig. cover for vascular plants is 70%
20755,80v-n,,,,2,,R,,16,B-B,Association Oxytropidi wrangelii-Diyadetum integrifoliae,SKH,39,,,39,,B,RU,Wrangel_island,25,,,,Y,GPS,,71.211079,179.075486,170,8,45,,,,,,,,,Y,Y,Y,1,1,0,,,,,,,,,,10,2,,,,,,,60,,0,,,,in orig. cover for vascular plants is 60%
20756,129a-n,,,,2,,R,,16,B-B,Association Oxytropidi wrangelii-Diyadetum integrifoliae,SKH,39,,,39,,B,RU,Wrangel_island,25,,,,Y,GPS,,71.220985,179.179383,200,5,360,,,,,,,,,Y,Y,Y,1,1,0,,,,,,,,,,25,1,,,,,,,60,,0,,,,in orig. cover for vascular plants is 50%
20757,84b-n,,,,2,,R,,16,B-B,Association Oxytropidi wrangelii-Diyadetum integrifoliae,SKH,39,,,39,,B,RU,Wrangel_island,25,,,,Y,GPS,,71.275363,179.312674,130,6,315,,,,,,,,,Y,Y,Y,1,1,0,,,,,,,,,,10,1,,,,,,,75,,0,,,,in orig. cover for vascular plants is 70%
20758,99zh-n,,,,2,,R,,16,B-B,Association Oxytropidi wrangelii-Diyadetum integrifoliae,SKH,39,,,39,,B,RU,Wrangel_island,25,,,,Y,GPS,,71.337533,179.40979,180,3,90,,,,,,,,,Y,Y,Y,1,1,0,,,,,,,,,,30,1,,,,,,,70,,0,,,,in orig. cover for vascular plants is 60%; Hypnum species = Stereodon holmenii
20759,106a-n,,,,2,,R,,16,B-B,Association Oxytropidi wrangelii-Diyadetum integrifoliae,SKH,39,,,39,,B,RU,Wrangel_island,25,,,,Y,GPS,,71.267895,179.291737,175,15,270,,,,,,,,,Y,Y,Y,1,1,0,,,,,,,,,,10,1,,,,,,,75,,0,,,,in orig. cover for vascular plants is 75%; Hypnum species = Stereodon holmenii
20760,148g-n,,,,2,,R,,16,B-B,Association Oxytropidi wrangelii-Diyadetum integrifoliae,SKH,39,,,39,,B,RU,Wrangel_island,25,,,,Y,GPS,,71.141154,179.372113,160,4,270,,,,,,,,,Y,Y,Y,1,1,0,,,,,,,,,,35,20,,,,,,,85,,0,,,,in orig. cover for vascular plants is 55%
20761,78d-n,,,,2,,R,,16,B-B,Association Oxytropidi wrangelii-Diyadetum integrifoliae,SKH,39,,,39,,B,RU,Wrangel_island,25,,,,Y,GPS,,71.216666,179.083642,200,3,180,,,,,,,,,Y,Y,Y,1,1,0,,,,,,,,,,15,20,,,,,,,70,,0,,,,in orig. cover for vascular plants is 65%
20762,545-2,,,,2,,R,,16,B-B,Association Oxytropidi wrangelii-Diyadetum integrifoliae,SKH,39,,,39,,B,RU,Wrangel_island,25,,,,N,,,,,100,4,225,,,,,,,,,Y,Y,Y,1,1,0,,,,,,,,,,45,12,,,,,,,50,,0,,,,in orig. cover for vascular plants is 40%
20763,130a-n,,,,2,,R,,16,B-B,Association Oxytropidi wrangelii-Diyadetum integrifoliae,SKH,39,,,39,,B,RU,Wrangel_island,25,,,,N,,,,,185,3,45,,,,,,,,,Y,Y,Y,1,1,0,,,,,,,,,,15,8,,,,,,,45,,0,,,,in orig. cover for vascular plants is 40%
20764,516-1,,,,2,,R,,16,B-B,Association Oxytropidi wrangelii-Diyadetum integrifoliae,SKH,39,,,39,,B,RU,Wrangel_island,25,,,,Y,GPS,,71.287199,-178.846957,90,10,135,,,,,,,,,Y,Y,Y,1,1,0,,,,,,,,,,55,12,,,,,,,90,,0,,,,in orig. cover for vascular plants is 70%
