AVA_RU_Bolshevik_Matveyeva_2006_species_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset Title: Russian Arctic Vegetation Archive: Bolshevik Island Vegetation Plots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset Author: Nadezda Matveyeva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset Reference: Matveyeva N. V. Vegetation of the southern part of Bolshevik Island (Severnaya Zemlya archipelago) // Vegetation of Russia. 2006. N 8. P. 3–87.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset Table: Species Cover Data for Bolshevik Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dataset Notes: Species cover classes are the old Braun-Blanquet cover-abundance scale: r (single), + (less than 1 percent), 1 (1 to 5 percent), 2 (6 to 25 percent), 3 (26 to 50 percent), 4 (51 to 75 percent), and 5 (76 to 100 percent). Both the dataset author determinations and the current nomenclature according to the Panarctic Species List (PASL) are listed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,AUTHOR PLOT NUMBER,66,65,64,63,62,61,67,68,69,70,70a,52,53,51,55,54,56,57,58,59,60,151,152,153,154,155,31,34,36,37,35,32,33,38,39,40,11,12,22,23,24,25,21,26,1,2,3,4,5,6,7,8,9,10,41,42,43,44,45,46,47,48,49,50,91,92,93,94,95,96,97,101,102,103,98,109,108,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,131,132,133,134,135,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,201,202,203,211,212,213,251,252,253,254,171,172,173,174,175,176,177,178,179,180,161,162,163,164,165,166,167,168,169,170
Draba pauciflora,Draba pauciflora R. Br.,Draba pauciflora,0,0,+,0,0,r,r,r,r,r,0,r,0,r,0,+,0,r,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,+,r,r,r,r,r,r,r,r,r,r,r,0,r,+,+,+,+,+,+,+,+,+,+,+,+,+,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,r,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,r,0,0,0,0,0,0,0,0,0
Draba pseudopilosa,Draba lactea Adams,Draba pseudopilosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,r,0,r,0,0,r,0,0,0,0,0,0,0,0,r,0,0,0,0,0,0,0,0,0,0,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eritrichium villosum,Eritrichium villosum (Ledeb.) Bunge,Eritrichium villosum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,r,0,r,+,+,0,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juncus biglumis,Juncus biglumis L.,Juncus biglumis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,r,0,0,0,0,+,0,0,0,0,0,0,r,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luzula confusa,Luzula confusa Lindeb.,Luzula confusa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,r,0,1,0,0,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luzula nivalis,Luzula nivalis (Laest.) Spreng.,Luzula nivalis,0,0,0,0,0,0,0,0,0,0,0,r,0,+,+,1,+,0,+,0,0,+,+,+,1,1,1,2,1,1,2,1,2,1,1,2,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,r,r,+,0,r,+,1,0,1,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,r,+,+,r,r,+,+,r,+,0,+,1,+,1,0,0,1,1,r,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,r,r,r,0,0,0,0,0,r,0,+,0,0,0,0,0,0,0,0,0
Minuartia macrocarpa,Minuartia macrocarpa (Pursh) Ostenf.,Minuartia macrocarpa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oxyria digyna,Oxyria digyna (L.) Hill,Oxyria dygina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Papaver polare,Papaver dahlianum aggregate (P. cornwallisense,Papaver polare,r,r,r,0,r,0,+,r,r,+,+,+,+,+,r,+,1,+,r,r,0,0,1,r,1,+,+,r,+,r,+,+,0,+,+,r,+,+,0,+,1,1,r,r,+,1,+,0,+,1,1,+,+,+,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,r,+,r,0,1,1,1,0,0,0,0,0,0,0,r,r,r,r,r,r,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phippsia algida,Phippsia algida (Sol.) R. Br.,Phippsia algida,2,2,2,2,2,2,2,2,2,2,2,+,+,r,+,0,1,r,r,r,+,r,0,r,0,0,0,0,0,0,0,0,0,0,0,0,+,+,1,1,+,1,+,1,+,0,+,+,+,r,+,+,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,+,0,r,0,r,0,+,+,+,0,+,+,+,+,+,+,+,+,1,+,+,+,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,r,0,0,0,+,+,+,+,+,r,0,0,0,r,0,r,r,+,0,0,0,0,0,0,0,0,0,0
Poa alpina,Poa alpina L.,Poa alpigena,0,0,0,0,0,0,0,+,0,2,+,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,+,0,0,0,+,0,0,1,1,r,2,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,+,+,+,1,+,1,+,+,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Potentilla hyparctica,Potentilla hyparctica Malte,Potentilla hyparctica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,r,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,r,+,+,+,0,+,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ranunculus sabinei,Ranunculus sabinei R. Br.,Ranunculus sabinii,0,r,0,+,+,0,+,r,0,+,+,0,0,r,0,+,0,0,0,0,0,0,0,0,0,+,0,0,0,0,0,0,0,0,+,0,r,r,0,+,0,0,0,0,r,+,r,0,+,+,+,+,+,r,+,1,1,1,+,1,r,1,1,1,r,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ranunculus sulphureus v. sulphureus],Ranunculus sulphureus v. sulphureus] Sol. ,Ranunculus sulphureus,0,0,0,0,0,0,r,+,0,+,+,0,r,0,0,0,0,0,0,0,0,0,0,0,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,r,0,0,r,+,+,+,r,0,+,r,r,r,+,0,1,1,1,1,+,+,0,+,+,+,r,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,r,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,r,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salix polaris,Salix polaris Wahlenb.,Salix polaris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,1,r,0,r,1,1,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,r,r,r,1,+,+,+,1,2,2,+,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saxifraga cernua,Saxifraga cernua L.,Saxifraga cernua,r,r,r,0,+,+,1,+,0,1,1,+,+,+,+,+,+,r,+,r,0,+,+,+,+,+,+,0,0,r,r,+,0,+,+,0,r,+,r,r,+,+,r,+,r,r,r,+,+,+,+,+,+,+,+,r,+,r,+,+,+,+,+,+,r,0,0,0,0,0,0,0,0,0,0,0,0,r,+,+,+,+,+,+,+,+,+,0,0,r,r,0,0,0,0,0,0,r,0,0,0,+,r,+,r,r,r,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,0,r,+,+,0,+,+,+,+,+,+,0,+,1,1,1,1,+,+,+,+,+,+,r,+,+,+,r,r,0,0,0,0,0,0,0,0
Saxifraga cespitosa,Saxifraga cespitosa L.,Saxifraga cespitosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,r,0,0,0,0,2,2,2,2,2,2,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saxifraga foliolosa,Micranthes foliolosa (R. Br.) Gornall,Saxifraga foliolosa,r,0,r,0,0,0,0,r,0,+,+,0,+,0,r,+,r,0,r,r,+,+,+,+,+,+,+,+,0,r,0,0,r,r,r,0,+,+,r,+,0,0,r,r,+,r,r,+,+,+,+,r,+,+,0,0,0,0,0,0,0,0,0,r,0,0,0,0,0,0,0,0,0,0,0,0,0,r,+,+,+,+,+,+,+,+,+,+,+,+,+,r,r,r,r,+,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,r,r,0,0,0,0,r,0,0,+,r,+,1,+,0,+,+,0,0,0,0,0,0,1,1,0,0,0,r,r,r,0,+,0,0,+,0,0,0,0,0,0,0,0,0,0,0
Saxifraga hyperborea,Saxifraga hyperborea R. Br.,Saxifraga hyperborea,+,+,0,+,+,+,1,+,0,+,+,r,+,+,r,1,1,+,0,r,+,+,r,r,+,+,0,r,0,r,r,r,0,0,0,0,+,+,r,r,+,+,+,+,+,r,r,r,+,+,+,r,0,+,+,r,r,r,+,+,0,0,+,+,r,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,+,0,0,0,0,0,r,0,r,0,0,r,0,r,r,+,+,1,+,+,1,+,1,+,1,+,+,1,1,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,0,0,0,0,0,0,+,+,+,+,r,r,0,r,r,+,r,r,+,+,0,0,0,0,0,0,0,0,0,0
